time;queuedNum
"1624090355416";"0"
"1624090356418";"0"
"1624090357415";"0"
"1624090358414";"1"
"1624090359415";"2"
"1624090360414";"3"
"1624090361414";"2"
"1624090362414";"3"
"1624090363414";"2"
"1624090364414";"1"
"1624090365414";"2"
"1624090366415";"1"
"1624090367414";"0"
"1624090368414";"0"
"1624090369414";"0"
"1624090370414";"0"
"1624090371414";"0"
"1624090372414";"0"
"1624090373414";"0"
"1624090374414";"0"
"1624090375413";"0"
"1624090376414";"0"
"1624090377414";"0"
"1624090378414";"0"
"1624090379415";"0"
"1624090380414";"0"
"1624090381414";"0"
"1624090382414";"0"
"1624090383414";"0"
"1624090384414";"0"
"1624090385414";"0"
"1624090386414";"0"
"1624090387414";"0"
"1624090388413";"0"
"1624090389414";"0"
"1624090390414";"0"
"1624090391413";"0"
"1624090392414";"0"
"1624090393414";"0"
"1624090394414";"0"
"1624090395414";"0"
"1624090396414";"0"
"1624090397414";"0"
"1624090398415";"0"
"1624090399414";"0"
"1624090400414";"0"
"1624090401414";"0"
"1624090402414";"0"
"1624090403414";"0"
"1624090404415";"0"
"1624090405413";"0"
"1624090406414";"0"
"1624090407414";"0"
"1624090408414";"0"
"1624090409414";"1"
"1624090410414";"2"
"1624090411414";"2"
"1624090412414";"3"
"1624090413414";"4"
"1624090414413";"4"
"1624090415415";"5"
"1624090416414";"5"
"1624090417413";"5"
"1624090418414";"5"
"1624090419414";"6"
"1624090420413";"7"
"1624090421414";"7"
"1624090422414";"8"
"1624090423414";"8"
"1624090424414";"9"
"1624090425414";"10"
"1624090426413";"11"
"1624090427415";"11"
"1624090428414";"12"
"1624090429413";"12"
"1624090430414";"12"
"1624090431414";"13"
"1624090432414";"14"
"1624090433414";"14"
"1624090434414";"15"
"1624090435413";"15"
"1624090436414";"16"
"1624090437414";"17"
"1624090438413";"18"
"1624090439414";"18"
"1624090440414";"18"
"1624090441414";"19"
"1624090442414";"20"
"1624090443414";"20"
"1624090444414";"21"
"1624090445414";"21"
"1624090446414";"22"
"1624090447414";"22"
"1624090448414";"23"
"1624090449414";"24"
"1624090450414";"24"
"1624090451414";"25"
"1624090452414";"25"
"1624090453414";"26"
"1624090454414";"28"
"1624090455414";"29"
"1624090456414";"30"
"1624090457414";"32"
"1624090458414";"34"
"1624090459414";"35"
"1624090460413";"37"
"1624090461414";"38"
"1624090462414";"40"
"1624090463414";"41"
"1624090464414";"43"
"1624090465414";"45"
"1624090466414";"46"
"1624090467414";"48"
"1624090468414";"49"
"1624090469414";"51"
"1624090470414";"52"
"1624090471414";"55"
"1624090472414";"56"
"1624090473413";"57"
"1624090474415";"59"
"1624090475414";"61"
"1624090476413";"62"
"1624090477414";"64"
"1624090478414";"65"
"1624090479414";"67"
"1624090480414";"68"
"1624090481414";"70"
"1624090482414";"71"
"1624090483414";"73"
"1624090484414";"74"
"1624090485414";"76"
"1624090486414";"77"
"1624090487414";"79"
"1624090488414";"80"
"1624090489414";"82"
"1624090490414";"84"
"1624090491414";"85"
"1624090492415";"87"
"1624090493414";"89"
"1624090494413";"90"
"1624090495414";"91"
"1624090496414";"93"
"1624090497413";"95"
"1624090498414";"96"
"1624090499414";"98"
"1624090500414";"99"
"1624090501414";"101"
"1624090502414";"102"
"1624090503413";"104"
"1624090504414";"105"
"1624090505414";"107"
"1624090506414";"105"
"1624090507414";"104"
"1624090508414";"102"
"1624090509413";"102"
"1624090510414";"99"
"1624090511414";"98"
"1624090512414";"96"
"1624090513414";"96"
"1624090514414";"94"
"1624090515413";"93"
"1624090516414";"91"
"1624090517414";"90"
"1624090518414";"88"
"1624090519414";"87"
"1624090520413";"85"
"1624090521414";"84"
"1624090522414";"83"
"1624090523414";"81"
"1624090524413";"80"
"1624090525414";"78"
"1624090526414";"77"
"1624090527414";"76"
"1624090528414";"74"
"1624090529414";"73"
"1624090530413";"71"
"1624090531414";"70"
"1624090532414";"68"
"1624090533414";"67"
"1624090534414";"65"
"1624090535414";"64"
"1624090536413";"62"
"1624090537414";"61"
"1624090538414";"59"
"1624090539414";"59"
"1624090540414";"57"
"1624090541413";"55"
"1624090542414";"54"
"1624090543414";"53"
"1624090544414";"51"
"1624090545414";"50"
"1624090546414";"48"
"1624090547414";"46"
"1624090548414";"45"
"1624090549414";"43"
"1624090550414";"42"
"1624090551413";"40"
"1624090552414";"39"
"1624090553414";"38"
"1624090554414";"36"
"1624090555414";"36"
"1624090556414";"33"
"1624090557414";"33"
"1624090558414";"31"
"1624090559414";"30"
"1624090560414";"28"
"1624090561414";"27"
"1624090562414";"25"
"1624090563414";"23"
"1624090564414";"22"
"1624090565414";"21"
"1624090566413";"19"
"1624090567414";"18"
"1624090568414";"17"
"1624090569414";"16"
"1624090570414";"14"
"1624090571414";"13"
"1624090572414";"11"
"1624090573414";"10"
"1624090574414";"8"
"1624090575414";"7"
"1624090576414";"5"
"1624090577414";"4"
"1624090578413";"2"
"1624090579414";"1"
"1624090580414";"0"
"1624090581414";"0"
"1624090582414";"0"
"1624090583414";"0"
"1624090584413";"0"
"1624090585414";"0"
"1624090586414";"0"
"1624090587414";"0"
"1624090588414";"0"
"1624090589413";"0"
"1624090590414";"0"
"1624090591414";"0"
"1624090592413";"0"
"1624090593414";"0"
"1624090594414";"0"
"1624090595413";"0"
"1624090596414";"0"
