time;queuedNum
"1624091069919";"0"
"1624091070920";"1"
"1624091071915";"1"
"1624091072916";"0"
"1624091073916";"1"
"1624091074916";"2"
"1624091075916";"3"
"1624091076916";"2"
"1624091077916";"2"
"1624091078916";"1"
"1624091079916";"1"
"1624091080916";"0"
"1624091081916";"0"
"1624091082916";"0"
"1624091083916";"0"
"1624091084916";"0"
"1624091085916";"0"
"1624091086916";"0"
"1624091087916";"0"
"1624091088916";"0"
"1624091089916";"0"
"1624091090916";"0"
"1624091091916";"0"
"1624091092916";"0"
"1624091093917";"0"
"1624091094916";"0"
"1624091095915";"0"
"1624091096916";"0"
"1624091097916";"0"
"1624091098916";"0"
"1624091099916";"0"
"1624091100916";"0"
"1624091101916";"0"
"1624091102916";"0"
"1624091103917";"0"
"1624091104917";"0"
"1624091105916";"0"
"1624091106916";"0"
"1624091107915";"0"
"1624091108917";"0"
"1624091109916";"0"
"1624091110916";"0"
"1624091111916";"0"
"1624091112916";"0"
"1624091113916";"0"
"1624091114916";"0"
"1624091115916";"0"
"1624091116916";"0"
"1624091117916";"0"
"1624091118916";"0"
"1624091119915";"0"
"1624091120916";"0"
"1624091121916";"0"
"1624091122916";"0"
"1624091123916";"0"
"1624091124916";"0"
"1624091125916";"0"
"1624091126915";"0"
"1624091127916";"0"
"1624091128915";"0"
"1624091129915";"0"
"1624091130917";"0"
"1624091131915";"0"
"1624091132916";"0"
"1624091133916";"0"
"1624091134916";"2"
"1624091135916";"1"
"1624091136916";"0"
"1624091137916";"0"
"1624091138916";"0"
"1624091139916";"0"
"1624091140916";"0"
"1624091141916";"0"
"1624091142916";"0"
"1624091143916";"0"
"1624091144916";"0"
"1624091145916";"0"
"1624091146916";"0"
"1624091147915";"0"
"1624091148916";"0"
"1624091149915";"0"
"1624091150916";"1"
"1624091151916";"0"
"1624091152916";"1"
"1624091153916";"0"
"1624091154916";"0"
"1624091155915";"2"
"1624091156916";"0"
"1624091157916";"0"
"1624091158916";"2"
"1624091159916";"1"
"1624091160916";"2"
"1624091161916";"2"
"1624091162916";"3"
"1624091163916";"2"
"1624091164916";"4"
"1624091165917";"3"
"1624091166916";"4"
"1624091167917";"4"
"1624091168916";"5"
"1624091169916";"5"
"1624091170916";"6"
"1624091171916";"5"
"1624091172916";"7"
"1624091173916";"6"
"1624091174916";"7"
"1624091175916";"7"
"1624091176917";"8"
"1624091177916";"7"
"1624091178916";"9"
"1624091179916";"9"
"1624091180916";"12"
"1624091181916";"12"
"1624091182916";"14"
"1624091183916";"15"
"1624091184916";"17"
"1624091185916";"17"
"1624091186916";"20"
"1624091187916";"20"
"1624091188916";"23"
"1624091189916";"23"
"1624091190916";"25"
"1624091191916";"26"
"1624091192916";"28"
"1624091193916";"28"
"1624091194916";"30"
"1624091195916";"31"
"1624091196916";"33"
"1624091197916";"34"
"1624091198915";"35"
"1624091199916";"37"
"1624091200916";"38"
"1624091201916";"39"
"1624091202916";"41"
"1624091203916";"42"
"1624091204915";"44"
"1624091205915";"45"
"1624091206916";"46"
"1624091207916";"48"
"1624091208916";"49"
"1624091209916";"50"
"1624091210916";"52"
"1624091211918";"53"
"1624091212916";"55"
"1624091213917";"56"
"1624091214916";"57"
"1624091215916";"59"
"1624091216916";"60"
"1624091217915";"61"
"1624091218916";"63"
"1624091219916";"64"
"1624091220916";"60"
"1624091221916";"57"
"1624091222916";"52"
"1624091223915";"50"
"1624091224916";"45"
"1624091225916";"42"
"1624091226915";"38"
"1624091227916";"35"
"1624091228916";"30"
"1624091229915";"28"
"1624091230927";"23"
"1624091231916";"20"
"1624091232915";"17"
"1624091233916";"13"
"1624091234916";"9"
"1624091235916";"6"
"1624091236915";"1"
"1624091237916";"0"
"1624091238916";"0"
"1624091239916";"0"
"1624091240916";"0"
"1624091241915";"0"
"1624091242916";"0"
"1624091243916";"0"
"1624091244916";"0"
"1624091245916";"0"
"1624091246915";"0"
"1624091247916";"0"
"1624091248916";"0"
"1624091249915";"0"
"1624091250916";"0"
"1624091251916";"0"
"1624091252916";"0"
"1624091253915";"0"
"1624091254916";"0"
"1624091255916";"0"
"1624091256916";"0"
"1624091257916";"0"
"1624091258915";"0"
"1624091259916";"0"
"1624091260916";"0"
"1624091261917";"0"
"1624091262915";"0"
"1624091263916";"0"
