time;queuedNum
"1625345103126";"0"
"1625345104130";"61"
"1625345105115";"112"
"1625345106116";"108"
"1625345107116";"108"
"1625345108115";"108"
"1625345109116";"91"
"1625345110122";"66"
"1625345111116";"43"
"1625345112115";"20"
"1625345113114";"0"
"1625345114120";"88"
"1625345115115";"89"
"1625345116116";"64"
"1625345117115";"40"
"1625345118116";"15"
"1625345119115";"0"
"1625345120116";"0"
"1625345121115";"0"
"1625345122115";"0"
"1625345123115";"0"
"1625345124134";"76"
"1625345125115";"83"
"1625345126115";"58"
"1625345127116";"34"
"1625345128115";"9"
"1625345129115";"0"
"1625345130116";"0"
"1625345131115";"0"
"1625345132115";"0"
"1625345133115";"0"
"1625345134124";"70"
"1625345135115";"80"
"1625345136115";"56"
"1625345137115";"32"
"1625345138116";"14"
"1625345139115";"5"
"1625345140115";"0"
"1625345141115";"0"
"1625345142115";"0"
"1625345143115";"0"
"1625345144123";"88"
"1625345145115";"88"
"1625345146115";"64"
"1625345147114";"42"
"1625345148115";"19"
"1625345149115";"9"
"1625345150115";"0"
"1625345151115";"0"
"1625345152115";"0"
"1625345153115";"0"
"1625345154124";"81"
"1625345155115";"87"
"1625345156115";"64"
"1625345157116";"40"
"1625345158115";"20"
"1625345159115";"10"
"1625345160115";"1"
"1625345161115";"0"
"1625345162116";"0"
"1625345163115";"0"
"1625345164130";"91"
"1625345165115";"89"
"1625345166115";"64"
"1625345167115";"41"
"1625345168115";"20"
"1625345169116";"11"
"1625345170115";"1"
"1625345171115";"0"
"1625345172115";"0"
"1625345173115";"0"
"1625345174126";"90"
"1625345175115";"87"
"1625345176115";"63"
"1625345177115";"39"
"1625345178114";"16"
"1625345179115";"7"
"1625345180115";"0"
"1625345181115";"0"
"1625345182114";"0"
"1625345183115";"0"
"1625345184123";"84"
"1625345185115";"82"
"1625345186115";"57"
"1625345187114";"35"
"1625345188115";"17"
"1625345189116";"8"
"1625345190116";"0"
"1625345191115";"0"
"1625345192115";"0"
"1625345193115";"0"
"1625345194132";"90"
"1625345195115";"86"
"1625345196116";"63"
"1625345197115";"38"
"1625345198116";"19"
"1625345199114";"9"
"1625345200115";"0"
"1625345201116";"0"
"1625345202116";"0"
"1625345203115";"0"
"1625345204118";"89"
"1625345205115";"89"
"1625345206115";"66"
"1625345207115";"43"
"1625345208115";"21"
"1625345209115";"12"
"1625345210115";"2"
"1625345211115";"0"
"1625345212115";"0"
"1625345213115";"0"
"1625345214131";"80"
"1625345215114";"84"
"1625345216115";"60"
"1625345217115";"36"
"1625345218115";"17"
"1625345219115";"8"
"1625345220115";"0"
"1625345221115";"0"
"1625345222115";"0"
"1625345223115";"0"
"1625345224118";"86"
"1625345225115";"92"
"1625345226115";"65"
"1625345227115";"42"
"1625345228116";"20"
"1625345229115";"10"
"1625345230116";"1"
"1625345231115";"0"
"1625345232115";"0"
"1625345233115";"0"
"1625345234124";"86"
"1625345235115";"88"
"1625345236115";"65"
"1625345237115";"40"
"1625345238115";"18"
"1625345239115";"8"
"1625345240115";"0"
"1625345241116";"0"
"1625345242115";"0"
"1625345243115";"0"
"1625345244123";"94"
"1625345245115";"91"
"1625345246115";"68"
"1625345247115";"43"
"1625345248115";"19"
"1625345249115";"10"
"1625345250115";"0"
"1625345251115";"0"
"1625345252115";"0"
"1625345253115";"0"
"1625345254134";"85"
"1625345255115";"92"
"1625345256115";"68"
"1625345257115";"42"
"1625345258115";"20"
"1625345259115";"8"
"1625345260115";"0"
"1625345261114";"0"
"1625345262115";"0"
"1625345263114";"0"
"1625345264122";"91"
"1625345265115";"90"
"1625345266115";"68"
"1625345267115";"43"
"1625345268116";"19"
"1625345269115";"10"
"1625345270115";"1"
"1625345271115";"0"
"1625345272115";"0"
"1625345273114";"0"
"1625345274121";"88"
"1625345275115";"89"
"1625345276115";"65"
"1625345277115";"42"
"1625345278115";"18"
"1625345279114";"8"
"1625345280115";"0"
"1625345281115";"0"
"1625345282114";"0"
"1625345283115";"0"
"1625345284123";"97"
"1625345285116";"92"
"1625345286115";"69"
"1625345287115";"48"
"1625345288115";"23"
"1625345289115";"12"
"1625345290115";"2"
"1625345291115";"0"
"1625345292115";"0"
"1625345293115";"0"
"1625345294121";"94"
