time;queuedNum
"1626714149576";"0"
"1626714150576";"72"
"1626714151564";"138"
"1626714152565";"138"
"1626714153570";"138"
"1626714154565";"127"
"1626714155564";"123"
"1626714156565";"105"
"1626714157565";"80"
"1626714158564";"57"
"1626714159564";"38"
"1626714160576";"122"
"1626714161564";"149"
"1626714162564";"122"
"1626714163565";"97"
"1626714164565";"79"
"1626714165564";"61"
"1626714166564";"42"
"1626714167565";"24"
"1626714168564";"4"
"1626714169564";"0"
"1626714170569";"85"
"1626714171564";"119"
"1626714172564";"102"
"1626714173564";"86"
"1626714174564";"69"
"1626714175565";"42"
"1626714176564";"30"
"1626714177564";"20"
"1626714178565";"8"
"1626714179564";"0"
"1626714180569";"76"
"1626714181564";"110"
"1626714182565";"88"
"1626714183564";"60"
"1626714184566";"35"
"1626714185564";"18"
"1626714186564";"7"
"1626714187564";"0"
"1626714188564";"0"
"1626714189564";"0"
"1626714190588";"85"
"1626714191564";"113"
"1626714192565";"89"
"1626714193564";"65"
"1626714194564";"38"
"1626714195564";"20"
"1626714196564";"8"
"1626714197565";"0"
"1626714198564";"0"
"1626714199563";"0"
"1626714200588";"84"
"1626714201564";"118"
"1626714202563";"92"
"1626714203564";"68"
"1626714204567";"43"
"1626714205565";"21"
"1626714206564";"10"
"1626714207564";"0"
"1626714208564";"0"
"1626714209564";"0"
"1626714210578";"97"
"1626714211564";"122"
"1626714212564";"99"
"1626714213564";"76"
"1626714214564";"52"
"1626714215565";"31"
"1626714216564";"12"
"1626714217564";"2"
"1626714218564";"0"
"1626714219564";"0"
"1626714220570";"91"
"1626714221564";"118"
"1626714222564";"95"
"1626714223564";"71"
"1626714224564";"47"
"1626714225565";"23"
"1626714226564";"7"
"1626714227564";"0"
"1626714228564";"0"
"1626714229564";"0"
"1626714230576";"87"
"1626714231564";"120"
"1626714232564";"94"
"1626714233564";"71"
"1626714234564";"48"
"1626714235564";"24"
"1626714236564";"9"
"1626714237564";"0"
"1626714238564";"0"
"1626714239564";"0"
"1626714240565";"94"
"1626714241564";"121"
"1626714242564";"98"
"1626714243564";"74"
"1626714244564";"52"
"1626714245565";"27"
"1626714246565";"10"
"1626714247568";"0"
"1626714248565";"0"
"1626714249564";"0"
"1626714250572";"94"
"1626714251563";"120"
"1626714252565";"99"
"1626714253564";"72"
"1626714254564";"50"
"1626714255564";"26"
"1626714256564";"11"
"1626714257564";"0"
"1626714258565";"0"
"1626714259564";"0"
"1626714260568";"90"
"1626714261564";"119"
"1626714262564";"95"
"1626714263564";"71"
"1626714264564";"46"
"1626714265565";"23"
"1626714266565";"9"
"1626714267564";"0"
"1626714268564";"0"
"1626714269564";"0"
"1626714270576";"95"
"1626714271565";"124"
"1626714272564";"101"
"1626714273564";"75"
"1626714274564";"53"
"1626714275565";"29"
"1626714276564";"9"
"1626714277564";"0"
"1626714278564";"0"
"1626714279564";"0"
"1626714280571";"93"
"1626714281564";"119"
"1626714282564";"97"
"1626714283564";"71"
"1626714284564";"47"
"1626714285564";"24"
"1626714286565";"10"
"1626714287564";"0"
"1626714288564";"0"
"1626714289564";"0"
"1626714290573";"101"
"1626714291564";"126"
"1626714292564";"103"
"1626714293564";"78"
"1626714294564";"55"
"1626714295564";"30"
"1626714296564";"11"
"1626714297564";"0"
"1626714298565";"0"
"1626714299564";"0"
"1626714300583";"92"
"1626714301564";"116"
"1626714302564";"94"
"1626714303564";"68"
"1626714304564";"48"
"1626714305564";"21"
"1626714306564";"7"
"1626714307565";"0"
"1626714308564";"0"
"1626714309564";"0"
"1626714310574";"100"
"1626714311565";"123"
"1626714312565";"99"
"1626714313565";"74"
"1626714314564";"52"
"1626714315564";"25"
"1626714316564";"10"
"1626714317564";"0"
"1626714318565";"0"
"1626714319565";"0"
"1626714320564";"94"
"1626714321565";"126"
"1626714322564";"101"
"1626714323565";"76"
"1626714324563";"53"
"1626714325564";"28"
"1626714326564";"12"
"1626714327564";"1"
"1626714328564";"0"
"1626714329564";"0"
"1626714330567";"88"
"1626714331563";"122"
"1626714332564";"98"
"1626714333565";"72"
"1626714334564";"49"
"1626714335564";"23"
"1626714336564";"9"
"1626714337565";"0"
"1626714338563";"0"
"1626714339564";"0"
"1626714340567";"101"
"1626714341565";"126"
"1626714342564";"103"
"1626714343565";"80"
"1626714344564";"55"
"1626714345565";"30"
"1626714346563";"15"
"1626714347565";"3"
"1626714348565";"0"
"1626714349564";"0"
"1626714350572";"90"
"1626714351564";"123"
"1626714352564";"100"
"1626714353564";"75"
"1626714354564";"51"
"1626714355564";"27"
"1626714356564";"12"
"1626714357565";"2"
"1626714358564";"0"
"1626714359564";"0"
"1626714360571";"88"
"1626714361565";"125"
"1626714362565";"100"
"1626714363565";"77"
"1626714364564";"52"
"1626714365564";"28"
"1626714366564";"14"
"1626714367564";"2"
"1626714368564";"0"
"1626714369564";"0"
"1626714370571";"90"
"1626714371564";"125"
"1626714372564";"102"
"1626714373564";"78"
"1626714374563";"56"
"1626714375564";"31"
"1626714376564";"15"
"1626714377563";"4"
"1626714378564";"0"
"1626714379564";"0"
"1626714380571";"86"
"1626714381565";"119"
"1626714382564";"95"
"1626714383563";"69"
"1626714384563";"45"
"1626714385565";"24"
"1626714386564";"13"
"1626714387567";"2"
"1626714388565";"0"
"1626714389564";"0"
"1626714390590";"91"
"1626714391564";"119"
"1626714392564";"95"
"1626714393564";"71"
"1626714394565";"49"
"1626714395564";"24"
"1626714396564";"15"
"1626714397564";"4"
"1626714398565";"0"
"1626714399564";"0"
"1626714400573";"92"
"1626714401564";"121"
"1626714402564";"97"
"1626714403565";"72"
"1626714404564";"48"
"1626714405565";"26"
"1626714406564";"15"
"1626714407564";"4"
"1626714408564";"0"
"1626714409564";"0"
"1626714410572";"86"
"1626714411564";"122"
"1626714412567";"99"
"1626714413565";"74"
"1626714414564";"50"
"1626714415564";"25"
"1626714416565";"16"
"1626714417563";"4"
"1626714418565";"0"
"1626714419564";"0"
"1626714420577";"93"
"1626714421564";"122"
"1626714422564";"97"
"1626714423564";"73"
"1626714424564";"50"
"1626714425565";"28"
"1626714426564";"17"
"1626714427564";"6"
"1626714428564";"0"
"1626714429564";"0"
"1626714430579";"92"
"1626714431564";"121"
"1626714432564";"99"
"1626714433564";"75"
"1626714434564";"51"
"1626714435565";"29"
"1626714436564";"20"
"1626714437564";"8"
"1626714438565";"0"
"1626714439565";"0"
"1626714440575";"98"
"1626714441564";"125"
"1626714442564";"100"
"1626714443564";"78"
"1626714444564";"51"
"1626714445564";"30"
"1626714446565";"19"
"1626714447570";"8"
"1626714448565";"0"
"1626714449564";"0"
"1626714450583";"92"
"1626714451564";"122"
"1626714452564";"100"
"1626714453564";"77"
"1626714454564";"53"
"1626714455565";"31"
"1626714456564";"21"
"1626714457564";"9"
"1626714458564";"0"
"1626714459564";"0"
"1626714460571";"95"
"1626714461564";"125"
"1626714462564";"101"
"1626714463564";"76"
"1626714464564";"53"
"1626714465564";"33"
"1626714466564";"22"
"1626714467564";"11"
"1626714468564";"0"
"1626714469564";"0"
"1626714470603";"85"
"1626714471564";"119"
"1626714472564";"95"
"1626714473564";"72"
"1626714474564";"45"
"1626714475564";"28"
"1626714476564";"17"
"1626714477564";"6"
"1626714478564";"0"
"1626714479565";"0"
"1626714480565";"89"
"1626714481564";"120"
"1626714482563";"98"
"1626714483564";"71"
"1626714484565";"47"
"1626714485564";"30"
"1626714486564";"20"
"1626714487564";"9"
"1626714488564";"0"
"1626714489565";"0"
"1626714490573";"94"
"1626714491564";"128"
"1626714492564";"103"
"1626714493565";"79"
"1626714494564";"55"
"1626714495564";"34"
"1626714496564";"24"
"1626714497564";"12"
"1626714498564";"1"
"1626714499564";"0"
"1626714500574";"87"
"1626714501564";"119"
"1626714502564";"96"
"1626714503564";"71"
"1626714504565";"50"
"1626714505564";"31"
"1626714506564";"20"
"1626714507564";"10"
"1626714508564";"0"
"1626714509564";"0"
"1626714510567";"91"
"1626714511564";"123"
"1626714512564";"99"
"1626714513564";"74"
"1626714514564";"48"
"1626714515565";"33"
"1626714516563";"23"
"1626714517564";"10"
"1626714518565";"0"
"1626714519563";"0"
"1626714520571";"98"
"1626714521565";"129"
"1626714522564";"106"
"1626714523564";"79"
"1626714524564";"56"
"1626714525564";"37"
"1626714526564";"25"
"1626714527565";"16"
"1626714528568";"4"
"1626714529564";"0"
"1626714530571";"83"
"1626714531564";"118"
"1626714532565";"96"
"1626714533564";"71"
"1626714534564";"47"
"1626714535564";"33"
"1626714536564";"23"
"1626714537565";"11"
"1626714538565";"0"
"1626714539564";"0"
"1626714540570";"89"
"1626714541564";"122"
"1626714542563";"101"
"1626714543565";"77"
"1626714544564";"54"
"1626714545564";"36"
"1626714546566";"25"
"1626714547565";"14"
"1626714548564";"3"
"1626714549564";"0"
"1626714550570";"90"
"1626714551564";"120"
"1626714552564";"96"
"1626714553564";"71"
"1626714554564";"49"
"1626714555564";"35"
"1626714556565";"23"
"1626714557564";"12"
"1626714558563";"0"
