time;queuedNum
"1627912058333";"0"
"1627912059335";"10"
"1627912060328";"9"
"1627912061328";"4"
"1627912062329";"4"
"1627912063328";"4"
"1627912064328";"4"
"1627912065328";"4"
"1627912066328";"0"
"1627912067328";"0"
"1627912068328";"0"
"1627912069328";"5"
"1627912070328";"2"
"1627912071329";"0"
"1627912072328";"0"
"1627912073328";"0"
"1627912074328";"0"
"1627912075328";"0"
"1627912076328";"0"
"1627912077328";"0"
"1627912078328";"0"
"1627912079328";"8"
"1627912080328";"7"
"1627912081328";"3"
"1627912082328";"1"
"1627912083328";"0"
"1627912084327";"0"
"1627912085328";"0"
"1627912086328";"0"
"1627912087328";"0"
"1627912088328";"0"
"1627912089328";"6"
"1627912090329";"2"
"1627912091328";"0"
"1627912092328";"0"
"1627912093328";"0"
"1627912094328";"0"
"1627912095328";"0"
"1627912096328";"0"
"1627912097328";"0"
"1627912098328";"0"
"1627912099328";"7"
"1627912100329";"5"
"1627912101328";"4"
"1627912102328";"0"
"1627912103328";"0"
"1627912104328";"0"
"1627912105328";"0"
"1627912106328";"0"
"1627912107328";"0"
"1627912108327";"0"
"1627912109328";"5"
"1627912110328";"4"
"1627912111327";"0"
"1627912112328";"0"
"1627912113328";"0"
"1627912114327";"0"
"1627912115328";"0"
"1627912116328";"0"
"1627912117327";"0"
"1627912118328";"0"
"1627912119328";"7"
"1627912120328";"6"
"1627912121328";"4"
"1627912122328";"1"
"1627912123328";"0"
"1627912124328";"0"
"1627912125328";"0"
"1627912126327";"0"
"1627912127328";"0"
"1627912128328";"0"
"1627912129327";"4"
"1627912130328";"4"
"1627912131328";"0"
"1627912132328";"0"
"1627912133328";"0"
"1627912134328";"0"
"1627912135327";"0"
"1627912136328";"0"
"1627912137328";"0"
"1627912138327";"0"
"1627912139328";"8"
"1627912140328";"6"
"1627912141329";"5"
"1627912142328";"1"
"1627912143327";"0"
"1627912144328";"0"
"1627912145328";"0"
"1627912146328";"0"
"1627912147328";"0"
"1627912148328";"0"
"1627912149328";"4"
"1627912150328";"3"
"1627912151328";"0"
"1627912152328";"0"
"1627912153328";"0"
"1627912154328";"0"
"1627912155328";"0"
"1627912156328";"0"
"1627912157328";"0"
"1627912158328";"0"
"1627912159328";"7"
"1627912160328";"5"
"1627912161328";"4"
"1627912162327";"1"
"1627912163328";"0"
"1627912164328";"0"
"1627912165329";"0"
"1627912166328";"0"
"1627912167328";"0"
"1627912168328";"0"
"1627912169329";"5"
"1627912170329";"4"
"1627912171328";"0"
"1627912172328";"0"
"1627912173327";"0"
"1627912174328";"0"
"1627912175328";"0"
"1627912176328";"0"
"1627912177328";"0"
"1627912178328";"0"
"1627912179328";"7"
"1627912180328";"6"
"1627912181328";"4"
"1627912182328";"1"
"1627912183328";"0"
"1627912184328";"0"
"1627912185328";"0"
"1627912186328";"0"
"1627912187328";"0"
"1627912188328";"0"
"1627912189328";"6"
"1627912190328";"3"
"1627912191329";"0"
"1627912192329";"0"
"1627912193329";"0"
"1627912194328";"0"
"1627912195328";"0"
"1627912196328";"0"
"1627912197327";"0"
"1627912198328";"0"
"1627912199328";"8"
"1627912200328";"7"
"1627912201328";"5"
"1627912202328";"2"
"1627912203327";"0"
"1627912204328";"0"
"1627912205328";"0"
"1627912206328";"0"
"1627912207327";"0"
"1627912208328";"0"
"1627912209328";"7"
"1627912210328";"5"
"1627912211327";"1"
"1627912212328";"0"
"1627912213328";"0"
"1627912214328";"0"
"1627912215327";"0"
"1627912216328";"0"
"1627912217328";"0"
"1627912218327";"0"
"1627912219328";"7"
"1627912220328";"5"
"1627912221327";"2"
"1627912222328";"0"
"1627912223328";"0"
"1627912224328";"0"
"1627912225328";"0"
"1627912226328";"0"
"1627912227327";"0"
"1627912228328";"0"
"1627912229328";"8"
"1627912230328";"4"
"1627912231328";"2"
"1627912232328";"0"
"1627912233328";"0"
"1627912234328";"0"
"1627912235328";"0"
"1627912236328";"0"
"1627912237328";"0"
"1627912238328";"0"
"1627912239328";"9"
"1627912240328";"6"
"1627912241328";"3"
"1627912242328";"0"
"1627912243328";"0"
"1627912244328";"0"
"1627912245328";"0"
"1627912246328";"0"
"1627912247327";"0"
"1627912248328";"0"
"1627912249328";"9"
"1627912250328";"5"
"1627912251328";"3"
"1627912252329";"0"
"1627912253328";"0"
"1627912254327";"0"
"1627912255328";"0"
"1627912256328";"0"
"1627912257328";"0"
"1627912258328";"0"
"1627912259328";"8"
"1627912260328";"7"
"1627912261328";"3"
"1627912262328";"0"
"1627912263328";"0"
"1627912264328";"0"
"1627912265328";"0"
"1627912266327";"0"
"1627912267328";"0"
"1627912268328";"0"
"1627912269328";"10"
"1627912270328";"7"
"1627912271328";"4"
"1627912272328";"0"
"1627912273328";"0"
"1627912274328";"0"
"1627912275328";"0"
"1627912276327";"0"
"1627912277328";"0"
"1627912278328";"0"
"1627912279328";"10"
"1627912280328";"8"
"1627912281328";"4"
"1627912282328";"2"
"1627912283328";"0"
"1627912284328";"0"
"1627912285327";"0"
"1627912286328";"0"
"1627912287328";"0"
"1627912288328";"0"
"1627912289328";"11"
"1627912290328";"9"
"1627912291328";"5"
"1627912292328";"2"
"1627912293328";"0"
"1627912294328";"0"
"1627912295327";"0"
"1627912296328";"0"
"1627912297328";"0"
"1627912298327";"0"
"1627912299328";"10"
"1627912300328";"8"
"1627912301328";"5"
"1627912302328";"2"
"1627912303328";"0"
"1627912304327";"0"
"1627912305328";"0"
"1627912306328";"0"
"1627912307328";"0"
"1627912308327";"0"
"1627912309328";"13"
"1627912310327";"10"
"1627912311328";"6"
"1627912312328";"4"
"1627912313328";"0"
"1627912314328";"0"
"1627912315328";"0"
"1627912316327";"0"
"1627912317328";"0"
"1627912318328";"0"
"1627912319327";"12"
"1627912320328";"9"
"1627912321329";"6"
"1627912322328";"3"
"1627912323328";"0"
"1627912324328";"0"
"1627912325327";"0"
"1627912326327";"0"
"1627912327328";"0"
"1627912328328";"0"
"1627912329328";"13"
"1627912330328";"10"
"1627912331328";"7"
"1627912332328";"4"
"1627912333328";"1"
"1627912334327";"0"
"1627912335328";"0"
"1627912336328";"0"
"1627912337327";"0"
"1627912338328";"0"
"1627912339328";"14"
"1627912340328";"11"
"1627912341328";"7"
"1627912342328";"4"
"1627912343328";"1"
"1627912344328";"0"
"1627912345328";"0"
"1627912346328";"0"
"1627912347328";"0"
"1627912348328";"0"
"1627912349328";"14"
"1627912350328";"11"
"1627912351328";"8"
"1627912352328";"5"
"1627912353328";"2"
"1627912354328";"0"
"1627912355328";"0"
"1627912356328";"0"
"1627912357328";"0"
"1627912358329";"0"
"1627912359328";"14"
"1627912360328";"10"
"1627912361328";"8"
"1627912362328";"4"
"1627912363328";"2"
"1627912364328";"0"
"1627912365328";"0"
"1627912366327";"0"
"1627912367328";"0"
"1627912368328";"0"
"1627912369328";"15"
"1627912370328";"13"
"1627912371328";"9"
"1627912372328";"6"
"1627912373328";"3"
"1627912374328";"1"
"1627912375328";"0"
"1627912376329";"0"
"1627912377328";"0"
"1627912378328";"0"
"1627912379328";"14"
"1627912380329";"12"
"1627912381328";"9"
"1627912382328";"6"
"1627912383328";"2"
"1627912384327";"0"
"1627912385328";"0"
"1627912386328";"0"
"1627912387328";"0"
"1627912388328";"0"
"1627912389328";"16"
"1627912390328";"13"
"1627912391328";"10"
"1627912392329";"7"
"1627912393327";"4"
"1627912394328";"2"
"1627912395328";"0"
"1627912396327";"0"
"1627912397328";"0"
"1627912398328";"0"
"1627912399327";"16"
"1627912400328";"13"
"1627912401328";"10"
"1627912402328";"7"
"1627912403328";"4"
"1627912404328";"0"
"1627912405328";"0"
"1627912406328";"0"
"1627912407328";"0"
"1627912408327";"0"
"1627912409327";"18"
"1627912410328";"15"
"1627912411328";"11"
"1627912412328";"9"
"1627912413328";"5"
"1627912414327";"3"
"1627912415328";"0"
"1627912416328";"0"
"1627912417327";"0"
"1627912418328";"0"
"1627912419328";"17"
"1627912420327";"15"
"1627912421328";"11"
"1627912422328";"9"
"1627912423328";"5"
"1627912424328";"3"
"1627912425328";"0"
"1627912426328";"0"
"1627912427328";"0"
"1627912428327";"0"
"1627912429328";"18"
"1627912430328";"16"
"1627912431328";"12"
"1627912432328";"9"
"1627912433328";"6"
"1627912434328";"4"
"1627912435328";"0"
"1627912436328";"0"
"1627912437328";"0"
"1627912438328";"0"
"1627912439328";"18"
"1627912440328";"15"
"1627912441328";"13"
"1627912442328";"10"
"1627912443328";"6"
"1627912444328";"4"
"1627912445328";"0"
"1627912446327";"0"
"1627912447328";"0"
"1627912448328";"0"
"1627912449327";"21"
"1627912450328";"18"
"1627912451328";"14"
"1627912452328";"10"
"1627912453328";"8"
"1627912454328";"6"
"1627912455328";"2"
"1627912456328";"0"
"1627912457328";"0"
"1627912458328";"0"
"1627912459328";"20"
"1627912460328";"18"
"1627912461328";"14"
"1627912462327";"11"
"1627912463328";"8"
"1627912464328";"6"
"1627912465328";"2"
"1627912466328";"0"
"1627912467328";"0"
"1627912468327";"0"
"1627912469328";"21"
"1627912470328";"18"
"1627912471328";"15"
"1627912472328";"12"
"1627912473327";"9"
"1627912474328";"6"
"1627912475328";"3"
"1627912476328";"0"
"1627912477328";"0"
"1627912478328";"0"
"1627912479328";"20"
"1627912480328";"18"
"1627912481328";"15"
"1627912482328";"11"
"1627912483327";"9"
"1627912484328";"6"
"1627912485327";"3"
"1627912486328";"0"
"1627912487329";"0"
"1627912488327";"0"
"1627912489328";"22"
"1627912490328";"20"
"1627912491328";"16"
"1627912492327";"13"
"1627912493328";"10"
"1627912494328";"8"
"1627912495328";"4"
"1627912496328";"1"
"1627912497328";"0"
"1627912498327";"0"
"1627912499329";"22"
"1627912500327";"19"
"1627912501328";"16"
"1627912502328";"12"
"1627912503328";"10"
"1627912504328";"6"
"1627912505328";"4"
"1627912506328";"0"
"1627912507327";"0"
"1627912508328";"0"
"1627912509328";"23"
"1627912510327";"19"
"1627912511328";"17"
"1627912512328";"13"
"1627912513327";"11"
"1627912514328";"7"
"1627912515328";"5"
"1627912516328";"1"
"1627912517327";"0"
"1627912518328";"0"
"1627912519327";"23"
"1627912520328";"21"
"1627912521327";"17"
"1627912522328";"14"
"1627912523328";"11"
"1627912524328";"9"
"1627912525328";"5"
"1627912526328";"2"
"1627912527328";"0"
"1627912528328";"0"
"1627912529328";"24"
"1627912530328";"22"
"1627912531328";"18"
"1627912532328";"14"
"1627912533328";"12"
"1627912534327";"9"
"1627912535328";"6"
"1627912536328";"2"
"1627912537328";"0"
"1627912538328";"0"
"1627912539328";"24"
"1627912540328";"21"
"1627912541328";"18"
"1627912542328";"14"
"1627912543329";"12"
"1627912544327";"9"
"1627912545328";"6"
"1627912546328";"2"
"1627912547328";"0"
"1627912548328";"0"
"1627912549328";"25"
"1627912550328";"21"
"1627912551328";"19"
"1627912552328";"15"
"1627912553328";"13"
"1627912554328";"9"
"1627912555329";"7"
"1627912556328";"3"
"1627912557328";"1"
"1627912558328";"0"
"1627912559328";"25"
"1627912560327";"22"
"1627912561328";"19"
"1627912562328";"15"
"1627912563328";"13"
"1627912564328";"10"
"1627912565327";"7"
"1627912566328";"3"
"1627912567328";"1"
"1627912568328";"0"
"1627912569328";"26"
"1627912570327";"22"
"1627912571328";"20"
"1627912572328";"16"
"1627912573328";"14"
"1627912574328";"10"
"1627912575328";"8"
"1627912576328";"4"
"1627912577327";"2"
"1627912578328";"0"
"1627912579328";"26"
"1627912580328";"24"
"1627912581329";"20"
"1627912582329";"16"
"1627912583328";"14"
"1627912584328";"12"
"1627912585328";"8"
"1627912586328";"4"
"1627912587328";"2"
"1627912588328";"0"
"1627912589327";"27"
"1627912590328";"23"
"1627912591328";"21"
"1627912592327";"19"
"1627912593328";"15"
"1627912594328";"11"
"1627912595327";"9"
"1627912596328";"6"
"1627912597328";"3"
"1627912598327";"0"
"1627912599328";"28"
"1627912600328";"25"
"1627912601328";"22"
"1627912602328";"18"
"1627912603328";"16"
"1627912604328";"13"
"1627912605328";"10"
"1627912606328";"6"
"1627912607327";"4"
"1627912608328";"1"
"1627912609328";"30"
"1627912610328";"26"
"1627912611327";"24"
"1627912612329";"21"
"1627912613328";"18"
"1627912614327";"14"
"1627912615328";"12"
"1627912616328";"9"
"1627912617328";"6"
"1627912618328";"2"
"1627912619326";"32"
"1627912620328";"29"
"1627912621328";"26"
"1627912622328";"22"
"1627912623329";"20"
"1627912624328";"17"
"1627912625328";"14"
"1627912626328";"10"
"1627912627328";"8"
"1627912628328";"5"
"1627912629328";"35"
"1627912630328";"31"
"1627912631328";"28"
"1627912632328";"26"
"1627912633328";"23"
"1627912634328";"19"
"1627912635328";"16"
"1627912636328";"14"
"1627912637328";"11"
"1627912638328";"7"
"1627912639328";"37"
"1627912640328";"35"
"1627912641328";"32"
"1627912642328";"28"
"1627912643328";"25"
"1627912644328";"23"
"1627912645328";"20"
"1627912646328";"16"
"1627912647328";"13"
"1627912648328";"11"
"1627912649328";"41"
"1627912650328";"38"
"1627912651328";"36"
"1627912652328";"33"
"1627912653328";"29"
"1627912654328";"26"
"1627912655328";"24"
"1627912656328";"21"
"1627912657328";"17"
"1627912658328";"14"
"1627912659328";"45"
"1627912660327";"43"
"1627912661328";"39"
"1627912662328";"36"
"1627912663329";"34"
"1627912664328";"30"
"1627912665328";"27"
"1627912666328";"24"
"1627912667328";"22"
"1627912668328";"18"
"1627912669328";"50"
"1627912670328";"47"
"1627912671327";"44"
"1627912672328";"41"
"1627912673328";"38"
"1627912674328";"35"
"1627912675328";"32"
"1627912676328";"29"
"1627912677328";"26"
"1627912678328";"23"
"1627912679328";"55"
"1627912680328";"52"
"1627912681328";"49"
"1627912682328";"46"
"1627912683328";"43"
"1627912684327";"40"
"1627912685329";"37"
"1627912686328";"34"
"1627912687328";"31"
"1627912688328";"28"
"1627912689328";"61"
"1627912690327";"58"
"1627912691328";"55"
"1627912692328";"52"
"1627912693328";"49"
"1627912694328";"46"
"1627912695328";"43"
"1627912696327";"40"
"1627912697328";"37"
"1627912698328";"34"
"1627912699328";"67"
"1627912700328";"64"
"1627912701328";"61"
