runtime;staticParam;volatileParam;callbackUrl;start;end;start_computation;end_computation;result
"helloWorld";"wl-1";"payload";"localhost:3358/VHoWbTxrza";"1615370759169";"1615370779872";"1615370776582";"1615370779553";"{"request": {"params": {"callbackUrl": "localhost:3358/VHoWbTxrza", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 18227}"
"helloWorld";"wl-1";"payload";"localhost:3358/KkAVG1lIGo";"1615370760164";"1615370780276";"1615370777699";"1615370780270";"{"request": {"params": {"callbackUrl": "localhost:3358/KkAVG1lIGo", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 18233}"
"helloWorld";"wl-1";"payload";"localhost:3358/8t2aAO5TBa";"1615370761165";"1615370783015";"1615370781005";"1615370783009";"{"request": {"params": {"callbackUrl": "localhost:3358/8t2aAO5TBa", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 18227}"
"helloWorld";"wl-1";"payload";"localhost:3358/xhPhCdyI9r";"1615370762165";"1615370783399";"1615370781391";"1615370783394";"{"request": {"params": {"callbackUrl": "localhost:3358/xhPhCdyI9r", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 18233}"
"helloWorld";"wl-1";"payload";"localhost:3358/ZsgMWZtya9";"1615370763165";"1615370786142";"1615370784133";"1615370786136";"{"request": {"params": {"callbackUrl": "localhost:3358/ZsgMWZtya9", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 18227}"
"helloWorld";"wl-1";"payload";"localhost:3358/GXCfAZbVfu";"1615370764166";"1615370786524";"1615370784517";"1615370786519";"{"request": {"params": {"callbackUrl": "localhost:3358/GXCfAZbVfu", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 18233}"
"helloWorld";"wl-1";"payload";"localhost:3358/OUrzSFlJHG";"1615370765166";"1615370789287";"1615370787270";"1615370789273";"{"request": {"params": {"callbackUrl": "localhost:3358/OUrzSFlJHG", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 18227}"
"helloWorld";"wl-1";"payload";"localhost:3358/RhZcci1k9U";"1615370766166";"1615370789645";"1615370787637";"1615370789638";"{"request": {"params": {"callbackUrl": "localhost:3358/RhZcci1k9U", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 18233}"
"helloWorld";"wl-1";"payload";"localhost:3358/FsqbXShpti";"1615370767166";"1615370792410";"1615370790401";"1615370792405";"{"request": {"params": {"callbackUrl": "localhost:3358/FsqbXShpti", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 18227}"
"helloWorld";"wl-1";"payload";"localhost:3358/gLRdmgm9sJ";"1615370768166";"1615370792769";"1615370790762";"1615370792764";"{"request": {"params": {"callbackUrl": "localhost:3358/gLRdmgm9sJ", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 18233}"
"helloWorld";"wl-1";"payload";"localhost:3358/QvXgFAXzYv";"1615370769182";"1615370795545";"1615370793538";"1615370795541";"{"request": {"params": {"callbackUrl": "localhost:3358/QvXgFAXzYv", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 18227}"
"helloWorld";"wl-1";"payload";"localhost:3358/RTYzBsvOls";"1615370770183";"1615370796408";"1615370793819";"1615370796403";"{"request": {"params": {"callbackUrl": "localhost:3358/RTYzBsvOls", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 18260}"
"helloWorld";"wl-1";"payload";"localhost:3358/yITMAl2h4J";"1615370771184";"1615370795890";"1615370793883";"1615370795885";"{"request": {"params": {"callbackUrl": "localhost:3358/yITMAl2h4J", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 18233}"
"helloWorld";"wl-1";"payload";"localhost:3358/yh4mohYrPs";"1615370772184";"1615370797530";"1615370794951";"1615370797525";"{"request": {"params": {"callbackUrl": "localhost:3358/yh4mohYrPs", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 18267}"
"helloWorld";"wl-1";"payload";"localhost:3358/9MBnsbcJPg";"1615370773185";"1615370798681";"1615370796673";"1615370798677";"{"request": {"params": {"callbackUrl": "localhost:3358/9MBnsbcJPg", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 18227}"
"helloWorld";"wl-1";"payload";"localhost:3358/ukH6pQbujr";"1615370774185";"1615370799018";"1615370797007";"1615370799011";"{"request": {"params": {"callbackUrl": "localhost:3358/ukH6pQbujr", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 18233}"
"helloWorld";"wl-1";"payload";"localhost:3358/YcQhixN5Wy";"1615370775185";"1615370799530";"1615370797524";"1615370799525";"{"request": {"params": {"callbackUrl": "localhost:3358/YcQhixN5Wy", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 18260}"
"helloWorld";"wl-1";"payload";"localhost:3358/vzcaBzuAYB";"1615370776185";"1615370800666";"1615370798658";"1615370800661";"{"request": {"params": {"callbackUrl": "localhost:3358/vzcaBzuAYB", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 18267}"
"helloWorld";"wl-1";"payload";"localhost:3358/oB4wVHTV4C";"1615370777185";"1615370801817";"1615370799809";"1615370801812";"{"request": {"params": {"callbackUrl": "localhost:3358/oB4wVHTV4C", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 18227}"
"helloWorld";"wl-1";"payload";"localhost:3358/G97iif2nk7";"1615370778185";"1615370802142";"1615370800135";"1615370802138";"{"request": {"params": {"callbackUrl": "localhost:3358/G97iif2nk7", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 18233}"
"helloWorld";"wl-1";"payload";"localhost:3358/1wg5tbdNUg";"1615370779201";"1615370804952";"1615370802945";"1615370804948";"{"request": {"params": {"callbackUrl": "localhost:3358/1wg5tbdNUg", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 18227}"
"helloWorld";"wl-1";"payload";"localhost:3358/Z9MCXsrxl2";"1615370779201";"1615370802653";"1615370800646";"1615370802649";"{"request": {"params": {"callbackUrl": "localhost:3358/Z9MCXsrxl2", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 18260}"
