time;queuedNum
"1620056910971";"0"
"1620056911970";"1"
"1620056912990";"1"
"1620056913968";"2"
"1620056914968";"2"
"1620056915968";"2"
"1620056916969";"3"
"1620056917968";"3"
"1620056918968";"4"
"1620056919968";"3"
"1620056920968";"3"
"1620056921968";"3"
"1620056922968";"4"
"1620056923968";"2"
"1620056924969";"2"
"1620056925968";"3"
"1620056926994";"4"
"1620056927967";"2"
"1620056928968";"1"
"1620056929990";"1"
"1620056930968";"2"
"1620056931969";"3"
"1620056932968";"3"
"1620056933968";"5"
"1620056934977";"7"
"1620056935968";"9"
"1620056936969";"11"
"1620056937970";"11"
"1620056938968";"14"
"1620056939968";"15"
"1620056940968";"16"
"1620056941968";"16"
"1620056942975";"16"
"1620056943969";"15"
"1620056944968";"14"
"1620056945968";"11"
"1620056946968";"10"
"1620056947968";"10"
"1620056948968";"10"
"1620056949968";"10"
"1620056950968";"10"
"1620056951968";"9"
"1620056952968";"8"
"1620056953968";"6"
"1620056954968";"5"
"1620056955968";"5"
"1620056956968";"5"
"1620056957968";"5"
"1620056958968";"4"
"1620056959968";"4"
"1620056960967";"4"
"1620056961969";"2"
"1620056962968";"0"
"1620056963968";"0"
"1620056964968";"0"
"1620056965989";"0"
"1620056966968";"0"
"1620056967968";"0"
"1620056968969";"0"
"1620056969967";"0"
"1620056970968";"0"
"1620056971968";"0"
"1620056972976";"0"
"1620056973969";"0"
"1620056974968";"0"
"1620056975969";"0"
"1620056976968";"0"
"1620056977968";"0"
"1620056978968";"0"
"1620056979968";"0"
"1620056980990";"0"
"1620056981968";"0"
"1620056982969";"0"
"1620056983968";"0"
"1620056984968";"0"
"1620056985969";"0"
"1620056986968";"0"
"1620056987968";"0"
"1620056988968";"0"
"1620056989972";"0"
"1620056990969";"0"
"1620056991968";"0"
"1620056992968";"0"
