time;queuedNum
"1620385344819";"0"
"1620385345820";"1"
"1620385346817";"3"
"1620385347818";"4"
"1620385348818";"4"
"1620385349818";"6"
"1620385350818";"7"
"1620385351817";"7"
"1620385352818";"7"
"1620385353818";"6"
"1620385354817";"7"
"1620385355818";"9"
"1620385356818";"9"
"1620385357817";"10"
"1620385358818";"12"
"1620385359817";"14"
"1620385360818";"16"
"1620385361867";"15"
"1620385362817";"17"
"1620385363818";"15"
"1620385364818";"17"
"1620385365817";"19"
"1620385366818";"14"
"1620385367817";"16"
"1620385368818";"18"
"1620385369818";"20"
"1620385370817";"21"
"1620385371818";"20"
"1620385372818";"19"
"1620385373817";"21"
"1620385374818";"23"
"1620385375817";"24"
"1620385376818";"23"
"1620385377818";"25"
"1620385378817";"27"
"1620385379818";"27"
"1620385380817";"28"
"1620385381818";"28"
"1620385382818";"28"
"1620385383817";"30"
"1620385384818";"32"
"1620385385818";"34"
"1620385386817";"36"
"1620385387818";"36"
"1620385388818";"35"
"1620385389817";"35"
"1620385390818";"37"
"1620385391817";"39"
"1620385392818";"41"
"1620385393818";"43"
"1620385394817";"45"
"1620385395818";"47"
"1620385396818";"45"
"1620385397817";"44"
"1620385398818";"46"
"1620385399818";"48"
"1620385400818";"50"
"1620385401818";"52"
"1620385402817";"54"
"1620385403818";"56"
"1620385404818";"58"
"1620385405818";"60"
"1620385406818";"62"
"1620385407817";"63"
"1620385408818";"67"
"1620385409817";"71"
"1620385410818";"75"
"1620385411818";"79"
"1620385412817";"83"
"1620385413818";"87"
"1620385414817";"91"
"1620385415818";"92"
"1620385416817";"95"
"1620385417818";"99"
"1620385418817";"100"
"1620385419818";"104"
"1620385420818";"108"
"1620385421817";"112"
"1620385422818";"116"
"1620385423818";"120"
"1620385424818";"124"
"1620385425818";"128"
"1620385426817";"129"
"1620385427818";"132"
"1620385428817";"136"
"1620385429818";"140"
"1620385430817";"141"
"1620385431818";"145"
"1620385432817";"149"
"1620385433818";"153"
"1620385434818";"157"
"1620385435817";"161"
"1620385436818";"165"
"1620385437817";"169"
"1620385438817";"170"
"1620385439818";"173"
"1620385440818";"177"
"1620385441818";"181"
"1620385442818";"185"
"1620385443817";"186"
"1620385444818";"190"
"1620385445817";"194"
"1620385446818";"198"
"1620385447817";"202"
"1620385448818";"206"
"1620385449817";"210"
"1620385450818";"213"
"1620385451818";"214"
"1620385452818";"218"
"1620385453818";"222"
"1620385454817";"226"
"1620385455818";"230"
"1620385456817";"234"
"1620385457818";"237"
"1620385458817";"239"
"1620385459818";"243"
"1620385460817";"247"
"1620385461818";"251"
"1620385462817";"255"
"1620385463818";"259"
"1620385464818";"262"
"1620385465818";"259"
"1620385466818";"259"
"1620385467818";"259"
"1620385468818";"259"
"1620385469818";"259"
"1620385470817";"259"
"1620385471818";"259"
"1620385472818";"259"
"1620385473817";"256"
"1620385474818";"256"
"1620385475817";"256"
"1620385476818";"256"
"1620385477817";"256"
"1620385478818";"256"
"1620385479817";"255"
"1620385480818";"252"
"1620385481818";"252"
"1620385482818";"252"
"1620385483818";"252"
"1620385484817";"252"
"1620385485818";"252"
"1620385486817";"252"
"1620385487818";"252"
"1620385488817";"252"
"1620385489818";"249"
"1620385490818";"249"
"1620385491818";"249"
"1620385492818";"249"
"1620385493817";"249"
"1620385494818";"249"
"1620385495817";"247"
"1620385496818";"245"
"1620385497817";"245"
"1620385498818";"245"
"1620385499817";"245"
"1620385500818";"245"
"1620385501817";"245"
"1620385502818";"245"
"1620385503818";"245"
"1620385504817";"245"
"1620385505818";"245"
"1620385506817";"242"
"1620385507818";"242"
"1620385508818";"242"
"1620385509817";"242"
"1620385510818";"242"
"1620385511817";"242"
"1620385512818";"240"
"1620385513818";"238"
"1620385514817";"238"
"1620385515818";"238"
"1620385516817";"238"
"1620385517818";"238"
"1620385518817";"238"
"1620385519818";"238"
"1620385520817";"238"
"1620385521818";"238"
"1620385522817";"238"
"1620385523818";"238"
"1620385524817";"235"
"1620385525818";"235"
"1620385526817";"235"
"1620385527817";"235"
"1620385528818";"235"
"1620385529818";"235"
"1620385530818";"233"
"1620385531818";"231"
"1620385532817";"231"
"1620385533818";"231"
"1620385534817";"231"
"1620385535818";"231"
"1620385536817";"231"
"1620385537818";"231"
"1620385538817";"231"
"1620385539818";"231"
"1620385540817";"231"
"1620385541818";"231"
"1620385542818";"231"
"1620385543818";"230"
"1620385544818";"228"
"1620385545817";"228"
"1620385546818";"228"
"1620385547817";"228"
"1620385548818";"228"
"1620385549817";"226"
"1620385550818";"224"
"1620385551817";"224"
"1620385552818";"224"
"1620385553818";"224"
"1620385554817";"224"
"1620385555818";"224"
"1620385556817";"224"
"1620385557818";"224"
"1620385558817";"224"
"1620385559818";"224"
"1620385560817";"224"
"1620385561818";"224"
"1620385562817";"224"
"1620385563818";"224"
"1620385564817";"221"
"1620385565818";"221"
"1620385566817";"221"
"1620385567818";"221"
"1620385568818";"221"
"1620385569817";"218"
"1620385570818";"217"
"1620385571817";"217"
"1620385572818";"217"
"1620385573817";"217"
"1620385574818";"217"
"1620385575817";"217"
"1620385576818";"217"
"1620385577817";"217"
"1620385578818";"217"
"1620385579817";"217"
"1620385580818";"217"
"1620385581817";"217"
"1620385582818";"217"
"1620385583817";"217"
"1620385584817";"217"
"1620385585818";"214"
"1620385586817";"214"
"1620385587818";"214"
"1620385588817";"214"
"1620385589818";"214"
"1620385590817";"211"
"1620385591818";"210"
"1620385592817";"210"
"1620385593818";"210"
"1620385594817";"210"
"1620385595818";"210"
"1620385596817";"210"
"1620385597818";"210"
"1620385598818";"210"
"1620385599817";"210"
"1620385600818";"210"
"1620385601817";"210"
"1620385602818";"210"
"1620385603817";"210"
"1620385604818";"210"
"1620385605817";"210"
"1620385606818";"210"
"1620385607817";"207"
"1620385608818";"207"
"1620385609824";"207"
"1620385610817";"207"
"1620385611818";"207"
"1620385612817";"204"
"1620385613818";"203"
"1620385614817";"203"
"1620385615818";"203"
"1620385616817";"203"
"1620385617818";"203"
"1620385618817";"203"
"1620385619818";"203"
"1620385620817";"203"
"1620385621818";"203"
"1620385622817";"203"
"1620385623818";"203"
"1620385624817";"203"
"1620385625818";"203"
"1620385626817";"203"
"1620385627818";"203"
"1620385628817";"203"
"1620385629818";"203"
"1620385630818";"201"
"1620385631818";"201"
"1620385632817";"201"
"1620385633818";"201"
"1620385634818";"200"
"1620385635817";"197"
"1620385636818";"197"
"1620385637817";"197"
"1620385638818";"197"
"1620385639818";"197"
"1620385640817";"197"
"1620385641818";"197"
"1620385642817";"197"
"1620385643818";"197"
"1620385644817";"197"
"1620385645818";"197"
"1620385646817";"197"
"1620385647818";"197"
"1620385648817";"197"
"1620385649818";"197"
"1620385650817";"197"
"1620385651818";"197"
"1620385652817";"197"
"1620385653817";"197"
"1620385654818";"196"
"1620385655818";"195"
"1620385656817";"195"
"1620385657818";"195"
"1620385658817";"194"
"1620385659818";"191"
"1620385660817";"191"
"1620385661818";"191"
"1620385662817";"191"
"1620385663818";"191"
"1620385664817";"191"
"1620385665818";"191"
"1620385666817";"191"
"1620385667818";"191"
"1620385668817";"191"
"1620385669818";"191"
"1620385670817";"191"
"1620385671818";"191"
"1620385672818";"191"
"1620385673817";"191"
"1620385674818";"191"
"1620385675817";"191"
"1620385676818";"191"
"1620385677817";"191"
"1620385678818";"191"
"1620385679817";"191"
"1620385680818";"189"
"1620385681817";"189"
"1620385682818";"189"
"1620385683817";"187"
"1620385684818";"185"
"1620385685817";"185"
"1620385686818";"185"
"1620385687817";"185"
"1620385688818";"185"
"1620385689818";"185"
"1620385690817";"185"
"1620385691818";"185"
"1620385692817";"185"
"1620385693818";"185"
"1620385694817";"185"
"1620385695818";"185"
"1620385696817";"185"
"1620385697818";"185"
"1620385698817";"185"
"1620385699818";"185"
"1620385700817";"185"
"1620385701818";"185"
"1620385702817";"185"
"1620385703817";"185"
"1620385704818";"185"
"1620385705817";"185"
"1620385706818";"183"
"1620385707817";"183"
"1620385708818";"183"
"1620385709817";"181"
"1620385710818";"179"
"1620385711817";"179"
"1620385712818";"179"
"1620385713817";"179"
"1620385714818";"179"
"1620385715817";"179"
"1620385716818";"179"
"1620385717817";"179"
"1620385718817";"179"
"1620385719818";"179"
"1620385720817";"179"
"1620385721818";"179"
"1620385722817";"179"
"1620385723818";"179"
"1620385724817";"179"
"1620385725818";"179"
"1620385726818";"179"
"1620385727818";"179"
"1620385728817";"179"
"1620385729817";"179"
"1620385730818";"179"
"1620385731817";"179"
"1620385732818";"179"
"1620385733817";"177"
"1620385734818";"177"
"1620385735817";"177"
"1620385736818";"175"
"1620385737817";"173"
"1620385738818";"173"
"1620385739817";"173"
"1620385740818";"173"
"1620385741817";"173"
"1620385742817";"173"
"1620385743818";"173"
"1620385744817";"173"
"1620385745818";"173"
"1620385746817";"173"
"1620385747818";"173"
"1620385748817";"173"
"1620385749817";"173"
"1620385750818";"173"
"1620385751817";"173"
"1620385752818";"173"
"1620385753817";"173"
"1620385754817";"173"
"1620385755818";"173"
"1620385756817";"173"
"1620385757818";"173"
"1620385758817";"173"
"1620385759817";"173"
"1620385760818";"173"
"1620385761817";"171"
"1620385762818";"171"
"1620385763817";"171"
"1620385764818";"169"
"1620385765817";"167"
"1620385766817";"167"
"1620385767818";"167"
"1620385768817";"167"
"1620385769818";"167"
"1620385770817";"167"
"1620385771818";"167"
"1620385772817";"167"
"1620385773818";"167"
"1620385774817";"167"
"1620385775818";"167"
"1620385776817";"167"
"1620385777818";"167"
"1620385778817";"167"
"1620385779817";"167"
"1620385780818";"167"
"1620385781818";"167"
"1620385782817";"167"
"1620385783817";"167"
"1620385784818";"167"
"1620385785817";"167"
"1620385786818";"167"
"1620385787817";"167"
"1620385788818";"167"
"1620385789817";"167"
"1620385790817";"165"
"1620385791818";"165"
"1620385792817";"165"
"1620385793818";"163"
"1620385794817";"161"
"1620385795817";"161"
"1620385796818";"161"
"1620385797817";"161"
"1620385798818";"161"
"1620385799817";"161"
"1620385800818";"161"
"1620385801817";"161"
"1620385802817";"161"
"1620385803818";"161"
"1620385804817";"161"
"1620385805818";"161"
"1620385806817";"161"
"1620385807818";"161"
"1620385808818";"161"
"1620385809817";"161"
"1620385810817";"161"
"1620385811818";"161"
"1620385812817";"161"
"1620385813818";"161"
"1620385814817";"161"
"1620385815818";"161"
"1620385816817";"161"
"1620385817818";"161"
"1620385818817";"161"
"1620385819817";"161"
"1620385820818";"159"
"1620385821818";"159"
"1620385822817";"159"
"1620385823818";"157"
"1620385824817";"155"
"1620385825818";"155"
"1620385826818";"155"
"1620385827817";"155"
"1620385828818";"155"
"1620385829817";"155"
"1620385830818";"155"
"1620385831817";"155"
"1620385832818";"155"
"1620385833817";"155"
"1620385834818";"155"
"1620385835817";"155"
"1620385836817";"155"
"1620385837818";"155"
"1620385838817";"155"
"1620385839818";"155"
"1620385840817";"155"
"1620385841818";"155"
"1620385842817";"155"
"1620385843817";"155"
"1620385844818";"155"
"1620385845817";"155"
"1620385846818";"155"
"1620385847818";"155"
"1620385848817";"155"
"1620385849818";"155"
"1620385850817";"155"
"1620385851818";"155"
"1620385852817";"153"
"1620385853818";"153"
"1620385854817";"151"
"1620385855818";"149"
"1620385856818";"149"
"1620385857817";"149"
"1620385858818";"149"
"1620385859817";"149"
"1620385860818";"149"
"1620385861817";"149"
"1620385862817";"149"
"1620385863818";"149"
"1620385864817";"149"
"1620385865818";"149"
"1620385866817";"149"
"1620385867818";"149"
"1620385868817";"149"
"1620385869818";"149"
"1620385870818";"149"
"1620385871817";"149"
"1620385872818";"149"
"1620385873817";"149"
"1620385874818";"149"
"1620385875817";"149"
"1620385876817";"149"
"1620385877818";"149"
"1620385878817";"149"
"1620385879818";"149"
"1620385880817";"149"
"1620385881817";"149"
"1620385882818";"149"
"1620385883817";"149"
"1620385884818";"147"
"1620385885817";"147"
"1620385886818";"145"
"1620385887817";"143"
"1620385888817";"143"
"1620385889818";"143"
"1620385890817";"143"
"1620385891817";"143"
"1620385892818";"143"
"1620385893817";"143"
"1620385894818";"143"
"1620385895817";"143"
"1620385896818";"143"
"1620385897817";"143"
"1620385898817";"143"
"1620385899818";"143"
"1620385900817";"143"
"1620385901818";"143"
"1620385902817";"143"
"1620385903817";"143"
"1620385904818";"143"
"1620385905817";"143"
"1620385906818";"143"
"1620385907818";"143"
"1620385908817";"143"
"1620385909818";"143"
"1620385910817";"143"
"1620385911818";"143"
"1620385912817";"143"
"1620385913818";"143"
"1620385914817";"143"
"1620385915817";"143"
"1620385916818";"143"
"1620385917817";"141"
"1620385918818";"141"
"1620385919817";"139"
"1620385920818";"137"
"1620385921817";"137"
"1620385922817";"137"
"1620385923818";"137"
"1620385924817";"137"
"1620385925818";"137"
"1620385926817";"137"
"1620385927818";"137"
"1620385928817";"137"
"1620385929817";"137"
"1620385930818";"137"
"1620385931817";"137"
"1620385932818";"137"
"1620385933817";"137"
"1620385934818";"137"
"1620385935817";"137"
"1620385936817";"137"
"1620385937818";"137"
"1620385938817";"137"
"1620385939818";"137"
"1620385940817";"137"
"1620385941817";"137"
"1620385942818";"137"
"1620385943817";"137"
"1620385944818";"137"
"1620385945817";"137"
"1620385946817";"137"
"1620385947818";"137"
"1620385948817";"137"
"1620385949817";"137"
"1620385950818";"137"
"1620385951817";"135"
"1620385952818";"135"
"1620385953817";"132"
"1620385954817";"131"
"1620385955818";"131"
"1620385956817";"131"
"1620385957817";"131"
"1620385958818";"131"
"1620385959817";"131"
"1620385960817";"131"
"1620385961818";"131"
"1620385962817";"131"
"1620385963818";"131"
"1620385964817";"131"
"1620385965818";"131"
"1620385966817";"131"
"1620385967817";"131"
"1620385968818";"131"
"1620385969817";"131"
"1620385970818";"131"
"1620385971817";"131"
"1620385972818";"131"
"1620385973817";"131"
"1620385974817";"131"
"1620385975818";"131"
"1620385976817";"131"
"1620385977818";"131"
"1620385978817";"131"
"1620385979818";"131"
"1620385980818";"131"
"1620385981817";"131"
"1620385982818";"131"
"1620385983817";"131"
"1620385984818";"131"
"1620385985817";"131"
"1620385986818";"129"
"1620385987817";"129"
"1620385988817";"125"
"1620385989818";"125"
"1620385990817";"125"
"1620385991817";"125"
"1620385992818";"125"
"1620385993817";"125"
"1620385994818";"125"
"1620385995817";"125"
"1620385996817";"125"
"1620385997818";"125"
"1620385998817";"125"
"1620385999818";"125"
"1620386000817";"125"
"1620386001817";"125"
"1620386002818";"125"
"1620386003817";"125"
"1620386004818";"125"
"1620386005817";"125"
"1620386006818";"125"
"1620386007817";"125"
"1620386008817";"125"
"1620386009818";"125"
"1620386010817";"125"
"1620386011817";"125"
"1620386012818";"125"
"1620386013817";"125"
"1620386014818";"125"
"1620386015817";"125"
"1620386016818";"125"
"1620386017817";"125"
"1620386018817";"125"
"1620386019818";"125"
"1620386020817";"125"
"1620386021818";"125"
"1620386022817";"125"
"1620386023817";"123"
"1620386024818";"119"
"1620386025817";"119"
"1620386026818";"119"
"1620386027817";"119"
"1620386028818";"119"
"1620386029817";"119"
"1620386030817";"119"
"1620386031818";"119"
"1620386032817";"119"
"1620386033818";"119"
"1620386034818";"119"
"1620386035817";"119"
"1620386036818";"119"
"1620386037817";"119"
"1620386038818";"119"
"1620386039817";"119"
"1620386040817";"119"
"1620386041818";"119"
"1620386042817";"119"
"1620386043818";"119"
"1620386044817";"119"
"1620386045818";"119"
"1620386046817";"119"
"1620386047818";"119"
"1620386048817";"119"
"1620386049818";"119"
"1620386050817";"119"
"1620386051818";"119"
"1620386052818";"119"
"1620386053818";"119"
"1620386054817";"119"
"1620386055818";"119"
"1620386056817";"119"
"1620386057817";"119"
"1620386058818";"119"
"1620386059817";"119"
"1620386060818";"117"
"1620386061817";"113"
"1620386062817";"113"
"1620386063818";"113"
"1620386064817";"113"
"1620386065818";"113"
"1620386066817";"113"
"1620386067817";"113"
"1620386068818";"113"
"1620386069817";"113"
"1620386070817";"113"
"1620386071818";"113"
"1620386072817";"113"
"1620386073817";"113"
"1620386074818";"113"
"1620386075817";"113"
"1620386076818";"113"
"1620386077817";"113"
"1620386078818";"113"
"1620386079817";"113"
"1620386080817";"113"
"1620386081818";"113"
"1620386082817";"113"
"1620386083818";"113"
"1620386084817";"113"
"1620386085818";"113"
"1620386086817";"113"
"1620386087817";"113"
"1620386088818";"113"
"1620386089817";"113"
"1620386090818";"113"
"1620386091817";"113"
"1620386092818";"113"
