time;queuedNum
"1620409896465";"0"
"1620409897466";"0"
"1620409898463";"1"
"1620409899462";"1"
"1620409900463";"1"
"1620409901463";"1"
"1620409902462";"1"
"1620409903464";"1"
"1620409904462";"0"
"1620409905464";"0"
"1620409906463";"0"
"1620409907464";"0"
"1620409908463";"0"
"1620409909462";"0"
"1620409910463";"1"
"1620409911463";"0"
"1620409912463";"0"
"1620409913462";"0"
"1620409914463";"0"
"1620409915463";"0"
"1620409916462";"0"
"1620409917463";"0"
"1620409918463";"0"
"1620409919463";"1"
"1620409920462";"1"
"1620409921463";"2"
"1620409922463";"1"
"1620409923462";"1"
"1620409924463";"2"
"1620409925463";"3"
"1620409926462";"3"
"1620409927463";"2"
"1620409928467";"2"
"1620409929463";"0"
"1620409930463";"1"
"1620409931463";"2"
"1620409932463";"1"
"1620409933462";"2"
"1620409934463";"3"
"1620409935463";"3"
"1620409936463";"3"
"1620409937463";"4"
"1620409938463";"6"
"1620409939463";"6"
"1620409940463";"8"
"1620409941463";"10"
"1620409942462";"12"
"1620409943463";"14"
"1620409944463";"15"
"1620409945463";"16"
"1620409946463";"16"
"1620409947463";"18"
"1620409948462";"20"
"1620409949463";"22"
"1620409950463";"23"
"1620409951463";"25"
"1620409952462";"27"
"1620409953463";"29"
"1620409954463";"30"
"1620409955463";"31"
"1620409956463";"31"
"1620409957463";"33"
"1620409958463";"35"
"1620409959462";"37"
"1620409960463";"39"
"1620409961463";"41"
"1620409962463";"43"
"1620409963463";"44"
"1620409964463";"45"
"1620409965463";"47"
"1620409966463";"48"
"1620409967463";"47"
"1620409968463";"47"
"1620409969463";"47"
"1620409970462";"47"
"1620409971463";"47"
"1620409972463";"47"
"1620409973463";"45"
"1620409974463";"45"
"1620409975463";"45"
"1620409976463";"45"
"1620409977463";"45"
"1620409978463";"44"
"1620409979463";"43"
"1620409980463";"43"
"1620409981463";"43"
"1620409982462";"43"
"1620409983464";"42"
"1620409984463";"41"
"1620409985463";"41"
"1620409986462";"41"
"1620409987463";"41"
"1620409988463";"41"
"1620409989463";"41"
"1620409990463";"41"
"1620409991462";"40"
"1620409992463";"39"
"1620409993463";"39"
"1620409994463";"38"
"1620409995462";"38"
"1620409996463";"37"
"1620409997463";"37"
"1620409998463";"37"
"1620409999463";"37"
"1620410000463";"37"
"1620410001463";"37"
"1620410002462";"37"
"1620410003463";"37"
"1620410004463";"37"
"1620410005462";"36"
"1620410006463";"34"
"1620410007463";"34"
"1620410008463";"34"
"1620410009462";"34"
"1620410010463";"33"
"1620410011463";"33"
"1620410012463";"33"
"1620410013462";"33"
"1620410014463";"33"
"1620410015463";"33"
"1620410016462";"33"
"1620410017463";"33"
"1620410018463";"33"
"1620410019462";"32"
"1620410020464";"31"
"1620410021463";"30"
"1620410022463";"30"
"1620410023463";"30"
"1620410024463";"29"
"1620410025462";"29"
"1620410026463";"29"
"1620410027462";"29"
"1620410028463";"29"
"1620410029463";"29"
"1620410030463";"29"
"1620410031462";"29"
"1620410032463";"29"
"1620410033463";"28"
"1620410034463";"28"
"1620410035463";"28"
"1620410036462";"27"
"1620410037463";"26"
"1620410038463";"26"
"1620410039462";"25"
"1620410040463";"25"
"1620410041463";"25"
"1620410042463";"25"
"1620410043462";"25"
"1620410044463";"25"
"1620410045463";"25"
"1620410046462";"25"
"1620410047463";"25"
"1620410048463";"24"
"1620410049463";"24"
"1620410050462";"24"
"1620410051463";"24"
"1620410052463";"24"
"1620410053463";"22"
"1620410054463";"22"
"1620410055463";"21"
"1620410056463";"21"
"1620410057462";"21"
"1620410058463";"21"
"1620410059463";"21"
"1620410060462";"21"
"1620410061463";"21"
"1620410062463";"21"
"1620410063462";"21"
"1620410064463";"20"
"1620410065463";"20"
"1620410066463";"20"
"1620410067463";"20"
"1620410068463";"20"
"1620410069463";"20"
"1620410070462";"19"
"1620410071463";"18"
"1620410072463";"17"
"1620410073463";"17"
"1620410074463";"17"
"1620410075462";"17"
"1620410076463";"17"
"1620410077463";"17"
"1620410078462";"17"
"1620410079463";"17"
"1620410080463";"16"
"1620410081462";"16"
"1620410082463";"16"
"1620410083463";"16"
"1620410084462";"16"
"1620410085463";"16"
"1620410086463";"16"
"1620410087462";"16"
"1620410088463";"16"
"1620410089463";"15"
"1620410090462";"13"
"1620410091463";"13"
"1620410092463";"13"
"1620410093463";"13"
"1620410094462";"13"
"1620410095463";"13"
"1620410096463";"13"
"1620410097462";"13"
"1620410098463";"12"
"1620410099463";"12"
"1620410100463";"12"
"1620410101463";"12"
"1620410102463";"12"
"1620410103462";"12"
"1620410104463";"12"
"1620410105463";"12"
"1620410106462";"12"
"1620410107463";"12"
"1620410108463";"12"
"1620410109462";"11"
"1620410110463";"9"
"1620410111463";"9"
"1620410112462";"9"
"1620410113463";"9"
"1620410114463";"9"
"1620410115463";"9"
"1620410116463";"9"
"1620410117463";"8"
"1620410118462";"8"
"1620410119463";"8"
"1620410120463";"8"
"1620410121462";"8"
"1620410122463";"8"
"1620410123463";"8"
"1620410124462";"8"
"1620410125463";"8"
"1620410126463";"8"
"1620410127462";"8"
"1620410128463";"8"
"1620410129463";"8"
"1620410130462";"6"
"1620410131463";"5"
"1620410132463";"5"
"1620410133463";"5"
"1620410134462";"5"
"1620410135463";"5"
"1620410136463";"5"
"1620410137462";"4"
"1620410138463";"4"
"1620410139463";"4"
"1620410140462";"4"
"1620410141463";"4"
"1620410142463";"4"
"1620410143463";"4"
"1620410144462";"4"
"1620410145463";"4"
"1620410146463";"4"
"1620410147462";"4"
"1620410148463";"4"
"1620410149463";"4"
"1620410150462";"4"
"1620410151463";"3"
"1620410152463";"2"
"1620410153463";"1"
"1620410154462";"1"
"1620410155463";"1"
"1620410156463";"1"
"1620410157462";"1"
"1620410158463";"0"
"1620410159462";"0"
"1620410160463";"0"
"1620410161463";"0"
"1620410162463";"0"
"1620410163463";"0"
"1620410164463";"0"
"1620410165462";"0"
"1620410166463";"0"
"1620410167463";"0"
"1620410168462";"0"
"1620410169463";"0"
"1620410170463";"0"
"1620410171462";"0"
"1620410172463";"0"
"1620410173462";"0"
"1620410174463";"0"
"1620410175462";"0"
"1620410176463";"0"
"1620410177463";"0"
"1620410178463";"0"
"1620410179462";"0"
"1620410180463";"0"
"1620410181463";"0"
"1620410182462";"0"
"1620410183463";"0"
"1620410184463";"0"
"1620410185463";"0"
"1620410186463";"0"
"1620410187463";"0"
"1620410188462";"0"
"1620410189463";"0"
"1620410190463";"0"
"1620410191462";"0"
"1620410192463";"0"
"1620410193463";"0"
"1620410194463";"0"
"1620410195462";"0"
"1620410196463";"0"
"1620410197462";"0"
"1620410198463";"0"
"1620410199463";"0"
"1620410200462";"0"
"1620410201463";"0"
"1620410202462";"0"
"1620410203463";"0"
