time;queuedNum
"1620936316145";"0"
"1620936317146";"4"
"1620936318144";"6"
"1620936319144";"9"
"1620936320147";"6"
"1620936321143";"0"
"1620936322144";"0"
"1620936323143";"0"
"1620936324146";"0"
"1620936325144";"0"
"1620936326144";"0"
"1620936327144";"0"
"1620936328144";"0"
"1620936329144";"0"
"1620936330143";"0"
"1620936331144";"0"
"1620936332144";"0"
"1620936333144";"0"
"1620936334143";"0"
"1620936335144";"0"
"1620936336144";"0"
"1620936337143";"0"
"1620936338144";"0"
"1620936339144";"0"
"1620936340143";"1"
"1620936341144";"0"
"1620936342144";"0"
"1620936343143";"0"
"1620936344144";"0"
"1620936345144";"0"
"1620936346143";"0"
"1620936347144";"0"
"1620936348144";"0"
"1620936349144";"0"
"1620936350144";"0"
"1620936351144";"0"
"1620936352143";"0"
"1620936353144";"0"
"1620936354144";"0"
"1620936355143";"0"
"1620936356144";"0"
"1620936357143";"0"
"1620936358144";"0"
"1620936359144";"0"
"1620936360143";"0"
"1620936361144";"0"
"1620936362143";"0"
"1620936363144";"0"
"1620936364143";"2"
"1620936365144";"0"
"1620936366144";"1"
"1620936367143";"1"
"1620936368144";"3"
"1620936369144";"0"
"1620936370144";"0"
"1620936371144";"1"
"1620936372143";"0"
"1620936373144";"1"
"1620936374143";"0"
"1620936375144";"0"
"1620936376144";"5"
"1620936377143";"3"
"1620936378144";"0"
"1620936379143";"1"
"1620936380144";"0"
"1620936381143";"2"
"1620936382144";"0"
"1620936383143";"0"
"1620936384144";"3"
"1620936385143";"0"
"1620936386144";"4"
"1620936387143";"11"
"1620936388144";"18"
"1620936389144";"12"
"1620936390143";"6"
"1620936391144";"5"
"1620936392143";"0"
"1620936393144";"8"
"1620936394143";"3"
"1620936395144";"0"
"1620936396143";"1"
"1620936397144";"0"
"1620936398144";"0"
"1620936399144";"0"
"1620936400144";"4"
"1620936401143";"0"
"1620936402144";"11"
"1620936403144";"12"
"1620936404143";"14"
"1620936405144";"9"
"1620936406143";"6"
"1620936407144";"2"
"1620936408143";"0"
"1620936409144";"7"
"1620936410144";"0"
"1620936411144";"4"
"1620936412143";"0"
"1620936413144";"0"
"1620936414143";"3"
"1620936415144";"6"
"1620936416144";"20"
"1620936417144";"25"
"1620936418144";"38"
"1620936419143";"52"
"1620936420144";"53"
"1620936421144";"68"
"1620936422143";"74"
"1620936423144";"79"
"1620936424143";"93"
"1620936425144";"109"
"1620936426143";"121"
"1620936427144";"131"
"1620936428143";"137"
"1620936429145";"150"
"1620936430145";"156"
"1620936431144";"153"
"1620936432143";"151"
"1620936433144";"153"
"1620936434144";"170"
"1620936435143";"177"
"1620936436144";"184"
"1620936437144";"202"
"1620936438143";"216"
"1620936439144";"227"
"1620936440144";"239"
"1620936441143";"239"
"1620936442144";"247"
"1620936443144";"262"
"1620936444143";"280"
"1620936445144";"296"
"1620936446144";"313"
"1620936447144";"330"
"1620936448144";"346"
"1620936449144";"362"
"1620936450144";"373"
"1620936451143";"373"
"1620936452144";"372"
"1620936453144";"379"
"1620936454144";"386"
"1620936455144";"388"
"1620936456143";"403"
"1620936457144";"414"
"1620936458143";"424"
"1620936459144";"442"
"1620936460143";"458"
"1620936461144";"476"
"1620936462144";"493"
"1620936463143";"510"
"1620936464144";"525"
"1620936465144";"543"
"1620936466144";"559"
"1620936467144";"557"
"1620936468143";"553"
"1620936469144";"548"
"1620936470144";"544"
"1620936471143";"541"
"1620936472144";"519"
"1620936473144";"496"
"1620936474143";"472"
"1620936475144";"447"
"1620936476144";"422"
"1620936477143";"396"
"1620936478144";"370"
"1620936479144";"346"
"1620936480144";"322"
"1620936481144";"299"
"1620936482143";"276"
"1620936483144";"254"
"1620936484143";"230"
"1620936485144";"204"
"1620936486144";"180"
"1620936487144";"160"
"1620936488145";"135"
"1620936489144";"109"
"1620936490144";"88"
"1620936491143";"73"
"1620936492144";"60"
"1620936493143";"43"
"1620936494144";"26"
"1620936495143";"13"
"1620936496144";"0"
"1620936497143";"0"
"1620936498144";"0"
"1620936499143";"0"
"1620936500144";"0"
"1620936501143";"0"
"1620936502144";"0"
"1620936503144";"0"
"1620936504143";"0"
"1620936505144";"0"
"1620936506143";"0"
"1620936507144";"0"
"1620936508143";"0"
"1620936509144";"0"
"1620936510143";"0"
"1620936511144";"0"
"1620936512143";"0"
"1620936513144";"0"
"1620936514144";"0"
"1620936515144";"0"
"1620936516144";"0"
"1620936517143";"0"
"1620936518144";"0"
"1620936519143";"0"
"1620936520144";"0"
"1620936521144";"0"
"1620936522143";"0"
"1620936523144";"0"
"1620936524144";"0"
"1620936525143";"0"
"1620936526144";"0"
"1620936527144";"0"
"1620936528144";"0"
"1620936529143";"0"
"1620936530144";"0"
"1620936531144";"0"
"1620936532143";"0"
"1620936533144";"0"
"1620936534144";"0"
"1620936535143";"0"
"1620936536144";"0"
"1620936537144";"0"
"1620936538144";"0"
"1620936539144";"0"
"1620936540143";"0"
"1620936541144";"0"
"1620936542144";"0"
"1620936543143";"0"
"1620936544144";"0"
"1620936545143";"0"
"1620936546144";"0"
"1620936547143";"0"
"1620936548144";"0"
"1620936549143";"0"
"1620936550144";"0"
"1620936551144";"0"
"1620936552143";"0"
"1620936553144";"0"
"1620936554144";"0"
"1620936555143";"0"
"1620936556144";"0"
"1620936557143";"0"
"1620936558144";"0"
"1620936559143";"0"
"1620936560144";"0"
