time;queuedNum
"1622496719815";"0"
"1622496720816";"5"
"1622496721814";"7"
"1622496722814";"13"
"1622496723815";"10"
"1622496724814";"0"
"1622496725814";"0"
"1622496726814";"2"
"1622496727814";"0"
"1622496728814";"0"
"1622496729814";"0"
"1622496730814";"0"
"1622496731813";"0"
"1622496732814";"0"
"1622496733814";"0"
"1622496734813";"0"
"1622496735814";"0"
"1622496736814";"0"
"1622496737814";"0"
"1622496738814";"0"
"1622496739814";"0"
"1622496740813";"0"
"1622496741814";"0"
"1622496742814";"0"
"1622496743813";"0"
"1622496744814";"0"
"1622496745813";"0"
"1622496746814";"0"
"1622496747814";"0"
"1622496748813";"0"
"1622496749814";"0"
"1622496750813";"0"
"1622496751814";"0"
"1622496752814";"0"
"1622496753814";"0"
"1622496754813";"0"
"1622496755814";"0"
"1622496756814";"4"
"1622496757814";"0"
"1622496758813";"0"
"1622496759814";"0"
"1622496760813";"3"
"1622496761814";"0"
"1622496762814";"0"
"1622496763813";"0"
"1622496764814";"0"
"1622496765814";"1"
"1622496766814";"0"
"1622496767813";"0"
"1622496768814";"0"
"1622496769813";"0"
"1622496770814";"0"
"1622496771814";"0"
"1622496772813";"0"
"1622496773814";"2"
"1622496774814";"0"
"1622496775813";"0"
"1622496776814";"0"
"1622496777814";"0"
"1622496778814";"4"
"1622496779813";"0"
"1622496780814";"0"
"1622496781814";"4"
"1622496782813";"0"
"1622496783814";"1"
"1622496784814";"0"
"1622496785813";"2"
"1622496786814";"0"
"1622496787814";"2"
"1622496788814";"0"
"1622496789814";"5"
"1622496790813";"15"
"1622496791814";"22"
"1622496792814";"24"
"1622496793813";"20"
"1622496794814";"12"
"1622496795814";"9"
"1622496796813";"9"
"1622496797814";"2"
"1622496798813";"6"
"1622496799814";"13"
"1622496800814";"13"
"1622496801813";"18"
"1622496802814";"20"
"1622496803814";"20"
"1622496804814";"23"
"1622496805814";"24"
"1622496806814";"37"
"1622496807813";"48"
"1622496808814";"52"
"1622496809813";"56"
"1622496810814";"67"
"1622496811814";"70"
"1622496812814";"82"
"1622496813813";"83"
"1622496814814";"83"
"1622496815814";"86"
"1622496816814";"100"
"1622496817813";"111"
"1622496818814";"125"
"1622496819814";"130"
"1622496820813";"133"
"1622496821814";"145"
"1622496822814";"160"
"1622496823813";"165"
"1622496824814";"181"
"1622496825814";"195"
"1622496826813";"211"
"1622496827814";"225"
"1622496828814";"242"
"1622496829813";"256"
"1622496830814";"270"
"1622496831814";"283"
"1622496832814";"298"
"1622496833813";"308"
"1622496834814";"315"
"1622496835814";"307"
"1622496836813";"323"
"1622496837814";"326"
"1622496838813";"342"
"1622496839814";"359"
"1622496840814";"368"
"1622496841813";"383"
"1622496842814";"399"
"1622496843814";"412"
"1622496844813";"425"
"1622496845814";"441"
"1622496846814";"457"
"1622496847813";"475"
"1622496848814";"492"
"1622496849814";"509"
"1622496850813";"525"
"1622496851814";"539"
"1622496852814";"555"
"1622496853814";"568"
"1622496854814";"567"
"1622496855813";"578"
"1622496856814";"594"
"1622496857813";"604"
"1622496858814";"622"
"1622496859814";"638"
"1622496860814";"655"
"1622496861813";"667"
"1622496862814";"685"
"1622496863814";"699"
"1622496864814";"702"
"1622496865814";"701"
"1622496866813";"703"
"1622496867814";"711"
"1622496868813";"718"
"1622496869814";"726"
"1622496870814";"711"
"1622496871813";"693"
"1622496872814";"674"
"1622496873814";"656"
"1622496874813";"636"
"1622496875814";"611"
"1622496876814";"588"
"1622496877814";"561"
"1622496878813";"538"
"1622496879814";"515"
"1622496880814";"494"
"1622496881814";"471"
"1622496882814";"453"
"1622496883814";"429"
"1622496884813";"408"
"1622496885814";"387"
"1622496886814";"367"
"1622496887814";"348"
"1622496888814";"330"
"1622496889814";"309"
"1622496890814";"288"
"1622496891814";"267"
"1622496892813";"247"
"1622496893814";"227"
"1622496894815";"209"
"1622496895814";"195"
"1622496896814";"171"
"1622496897814";"151"
"1622496898814";"129"
"1622496899814";"109"
"1622496900813";"87"
"1622496901814";"69"
"1622496902813";"45"
"1622496903814";"23"
"1622496904813";"1"
"1622496905814";"0"
"1622496906813";"0"
"1622496907814";"0"
"1622496908813";"0"
"1622496909814";"0"
"1622496910813";"0"
"1622496911814";"0"
"1622496912813";"0"
"1622496913814";"0"
"1622496914814";"0"
"1622496915813";"0"
"1622496916814";"0"
"1622496917813";"0"
"1622496918814";"0"
"1622496919813";"0"
"1622496920814";"0"
"1622496921813";"0"
"1622496922814";"0"
"1622496923814";"0"
"1622496924814";"0"
"1622496925814";"0"
"1622496926813";"0"
"1622496927814";"0"
"1622496928813";"0"
"1622496929814";"0"
"1622496930813";"0"
"1622496931814";"0"
"1622496932814";"0"
"1622496933814";"0"
"1622496934814";"0"
"1622496935813";"0"
"1622496936814";"0"
"1622496937813";"0"
"1622496938814";"0"
"1622496939813";"0"
"1622496940814";"0"
"1622496941814";"0"
"1622496942814";"0"
"1622496943814";"0"
