time;queuedNum
"1622638512687";"0"
"1622638513684";"20"
"1622638514682";"38"
"1622638515683";"15"
"1622638516681";"0"
"1622638517683";"0"
"1622638518683";"0"
"1622638519683";"0"
"1622638520682";"0"
"1622638521696";"11"
"1622638522683";"0"
"1622638523682";"0"
"1622638524683";"0"
"1622638525683";"0"
"1622638526681";"6"
"1622638527683";"14"
"1622638528682";"0"
"1622638529682";"0"
"1622638530681";"0"
"1622638531730";"13"
"1622638532682";"0"
"1622638533683";"0"
"1622638534681";"0"
"1622638535682";"0"
"1622638536681";"10"
"1622638537683";"0"
"1622638538683";"0"
"1622638539683";"0"
"1622638540681";"0"
"1622638541683";"9"
"1622638542683";"0"
"1622638543682";"0"
"1622638544683";"0"
"1622638545682";"0"
"1622638546715";"12"
"1622638547682";"0"
"1622638548682";"0"
"1622638549683";"0"
"1622638550682";"0"
"1622638551681";"3"
"1622638552683";"16"
"1622638553683";"0"
"1622638554682";"0"
"1622638555708";"13"
"1622638556683";"0"
"1622638557683";"0"
"1622638558683";"0"
"1622638559681";"7"
"1622638560683";"20"
"1622638561683";"0"
"1622638562681";"0"
"1622638563717";"17"
"1622638564683";"0"
"1622638565683";"0"
"1622638566681";"0"
"1622638567682";"27"
"1622638568682";"0"
"1622638569682";"9"
"1622638570683";"23"
"1622638571681";"0"
"1622638572683";"4"
"1622638573683";"21"
"1622638574683";"0"
"1622638575682";"6"
"1622638576682";"22"
"1622638577682";"0"
"1622638578682";"7"
"1622638579682";"0"
"1622638580683";"0"
"1622638581681";"2"
"1622638582682";"25"
"1622638583681";"0"
"1622638584689";"22"
"1622638585681";"0"
"1622638586683";"0"
"1622638587696";"14"
"1622638588683";"0"
"1622638589683";"0"
"1622638590681";"6"
"1622638591683";"25"
"1622638592682";"1"
"1622638593683";"34"
"1622638594681";"4"
"1622638595683";"28"
"1622638596682";"5"
"1622638597683";"28"
"1622638598681";"0"
"1622638599728";"30"
"1622638600682";"10"
"1622638601683";"31"
"1622638602682";"5"
"1622638603683";"29"
"1622638604681";"3"
"1622638605683";"37"
"1622638606682";"20"
"1622638607681";"2"
"1622638608681";"10"
"1622638609683";"33"
"1622638610682";"17"
"1622638611682";"0"
"1622638612682";"0"
"1622638613689";"19"
"1622638614681";"6"
"1622638615683";"0"
"1622638616682";"0"
"1622638617682";"32"
"1622638618682";"5"
"1622638619683";"0"
"1622638620683";"0"
"1622638621710";"34"
"1622638622682";"10"
"1622638623682";"4"
"1622638624682";"0"
"1622638625682";"0"
"1622638626682";"0"
"1622638627682";"0"
"1622638628682";"0"
"1622638629691";"33"
"1622638630682";"8"
"1622638631682";"7"
"1622638632683";"6"
"1622638633681";"1"
"1622638634682";"45"
"1622638635683";"16"
"1622638636681";"5"
"1622638637681";"13"
"1622638638682";"21"
"1622638639681";"16"
"1622638640683";"12"
"1622638641682";"4"
"1622638642681";"0"
"1622638643701";"17"
"1622638644682";"11"
"1622638645682";"9"
"1622638646683";"39"
"1622638647683";"28"
"1622638648681";"4"
"1622638649683";"5"
"1622638650681";"0"
"1622638651682";"0"
"1622638652681";"0"
"1622638653721";"13"
"1622638654682";"12"
"1622638655683";"3"
"1622638656681";"1"
"1622638657683";"45"
"1622638658681";"17"
"1622638659681";"5"
"1622638660682";"5"
"1622638661683";"15"
"1622638662681";"3"
"1622638663683";"0"
"1622638664682";"0"
"1622638665682";"0"
"1622638666683";"0"
"1622638667683";"0"
"1622638668682";"0"
"1622638669682";"0"
"1622638670682";"0"
"1622638671683";"0"
"1622638672683";"0"
"1622638673682";"0"
"1622638674682";"0"
"1622638675683";"0"
"1622638676682";"0"
"1622638677682";"0"
"1622638678683";"0"
"1622638679683";"0"
"1622638680682";"0"
"1622638681682";"0"
"1622638682682";"0"
"1622638683683";"0"
"1622638684682";"0"
"1622638685682";"0"
"1622638686683";"0"
"1622638687682";"0"
"1622638688682";"0"
"1622638689683";"0"
"1622638690682";"0"
"1622638691683";"0"
"1622638692682";"0"
"1622638693683";"0"
"1622638694682";"0"
"1622638695683";"0"
"1622638696682";"0"
"1622638697683";"0"
"1622638698682";"0"
"1622638699683";"0"
"1622638700683";"0"
"1622638701682";"0"
