time;queuedNum
"1620057294641";"0"
"1620057295601";"1"
"1620057296600";"1"
"1620057297600";"2"
"1620057298600";"2"
"1620057299627";"2"
"1620057300600";"3"
"1620057301600";"3"
"1620057302601";"4"
"1620057303601";"3"
"1620057304599";"3"
"1620057305600";"3"
"1620057306600";"4"
"1620057307600";"2"
"1620057308601";"2"
"1620057309619";"3"
"1620057310600";"4"
"1620057311600";"2"
"1620057312627";"1"
"1620057313600";"2"
"1620057314600";"2"
"1620057315733";"3"
"1620057316600";"3"
"1620057317600";"5"
"1620057318626";"7"
"1620057319601";"9"
"1620057320600";"11"
"1620057321621";"12"
"1620057322600";"13"
"1620057323600";"15"
"1620057324600";"16"
"1620057325600";"16"
"1620057326615";"16"
"1620057327600";"15"
"1620057328601";"14"
"1620057329632";"10"
"1620057330600";"10"
"1620057331600";"10"
"1620057332600";"10"
"1620057333600";"10"
"1620057334600";"10"
"1620057335600";"9"
"1620057336601";"8"
"1620057337600";"6"
"1620057338601";"5"
"1620057339601";"5"
"1620057340600";"5"
"1620057341600";"5"
"1620057342600";"4"
"1620057343600";"4"
"1620057344600";"4"
"1620057345611";"2"
"1620057346600";"0"
"1620057347600";"0"
"1620057348600";"0"
"1620057349601";"0"
"1620057350600";"0"
"1620057351600";"0"
"1620057352600";"0"
"1620057353600";"0"
"1620057354599";"0"
"1620057355614";"0"
"1620057356620";"0"
"1620057357600";"0"
"1620057358600";"0"
"1620057359600";"0"
"1620057360601";"0"
"1620057361600";"0"
"1620057362600";"0"
