time;queuedNum
"1617200273112";"0"
"1617200274113";"1"
"1617200275110";"2"
"1617200276110";"3"
"1617200277110";"4"
"1617200278110";"4"
"1617200279110";"4"
"1617200280110";"4"
"1617200281111";"4"
"1617200282110";"3"
"1617200283110";"3"
"1617200284110";"3"
"1617200285109";"2"
"1617200286110";"2"
"1617200287110";"2"
"1617200288111";"2"
"1617200289109";"1"
"1617200290110";"2"
"1617200291110";"2"
"1617200292110";"3"
"1617200293112";"2"
"1617200294110";"2"
"1617200295110";"3"
"1617200296110";"6"
"1617200297110";"9"
"1617200298110";"12"
"1617200299110";"14"
"1617200300110";"15"
"1617200301112";"17"
"1617200302109";"20"
"1617200303110";"23"
"1617200304110";"23"
"1617200305110";"23"
"1617200306110";"22"
"1617200307109";"20"
"1617200308110";"19"
"1617200309110";"19"
"1617200310110";"19"
"1617200311110";"19"
"1617200312110";"19"
"1617200313110";"18"
"1617200314109";"18"
"1617200315110";"16"
"1617200316110";"15"
"1617200317110";"15"
"1617200318110";"15"
"1617200319109";"15"
"1617200320110";"15"
"1617200321110";"15"
"1617200322110";"14"
"1617200323109";"14"
"1617200324111";"11"
"1617200325110";"11"
"1617200326110";"11"
"1617200327110";"11"
"1617200328110";"11"
"1617200329110";"11"
"1617200330110";"11"
"1617200331110";"11"
"1617200332109";"10"
"1617200333110";"10"
"1617200334112";"7"
"1617200335110";"7"
"1617200336110";"7"
"1617200337109";"7"
"1617200338110";"7"
"1617200339110";"7"
"1617200340110";"7"
"1617200341110";"7"
"1617200342110";"6"
"1617200343109";"6"
"1617200344110";"5"
"1617200345112";"3"
"1617200346109";"3"
"1617200347110";"3"
"1617200348110";"3"
"1617200349110";"3"
"1617200350109";"3"
"1617200351110";"3"
"1617200352110";"3"
"1617200353110";"3"
"1617200354109";"2"
"1617200355110";"2"
"1617200356110";"1"
"1617200357110";"0"
"1617200358110";"0"
"1617200359110";"0"
"1617200360110";"0"
"1617200361110";"0"
"1617200362110";"0"
"1617200363109";"0"
"1617200364110";"0"
"1617200365110";"0"
"1617200366110";"0"
"1617200367109";"0"
"1617200368110";"0"
"1617200369110";"0"
"1617200370110";"0"
"1617200371110";"0"
"1617200372109";"0"
"1617200373110";"0"
"1617200374110";"0"
"1617200375110";"0"
"1617200376110";"0"
"1617200377110";"0"
"1617200378110";"0"
